Slot;Anzahl
180;88
181;18
182;11
183;5
184;5
185;47
186;10
187;4
188;7
189;4
190;43
191;6
192;6
193;9
194;6
195;48
196;9
197;13
198;7
199;8
200;43
201;6
202;5
203;9
204;3
205;43
206;8
207;7
208;6
209;6
210;85
211;6
212;14
213;6
214;5
215;24
216;10
217;9
218;10
219;6
220;48
221;14
222;11
223;7
224;10
225;49
226;6
227;13
228;10
229;2
230;55
231;8
232;7
233;5
234;4
235;62
236;13
237;5
238;13
239;8
240;69
241;18
242;7
243;5
244;9
245;48
246;10
247;17
248;6
249;11
250;66
251;9
252;12
253;9
254;6
255;68
256;14
257;7
258;2
259;8
260;49
261;7
262;12
263;12
264;13
265;32
266;15
267;11
268;4
269;11
270;57
271;16
272;9
273;9
274;8
275;50
276;13
277;7
278;9
279;9
280;46
281;14
282;10
283;6
284;8
285;51
286;15
287;9
288;11
289;8
290;57
291;5
292;18
293;9
294;8
295;56
296;13
297;12
298;6
299;8
300;67
301;13
302;8
303;15
304;10
305;48
306;8
307;10
308;9
309;6
310;35
311;10
312;13
313;8
314;5
315;52
316;9
317;12
318;7
319;10
320;48
321;6
322;8
323;11
324;10
325;45
326;9
327;8
328;3
329;8
330;73
331;20
332;12
333;14
334;10
335;50
336;11
337;8
338;11
339;8
340;46
341;8
342;6
343;12
344;3
345;56
346;10
347;10
348;8
349;9
350;44
351;11
352;7
353;15
354;2
355;43
356;20
357;10
358;10
359;6
