Slot;Anzahl
120;47
121;8
122;7
123;8
124;7
125;24
126;9
127;6
128;10
129;6
130;27
131;12
132;9
133;5
134;6
135;26
136;8
137;7
138;6
139;11
140;33
141;9
142;7
143;10
144;4
145;25
146;7
147;9
148;8
149;3
150;37
151;13
152;7
153;9
154;4
155;13
156;6
157;8
158;4
159;8
160;16
161;12
162;5
163;3
164;5
165;18
166;5
167;6
168;4
169;7
170;16
171;5
172;9
173;7
174;6
175;13
176;8
177;4
178;7
179;5
180;24
181;4
182;8
183;8
184;8
185;10
186;6
187;2
188;3
189;2
190;20
191;7
192;7
193;2
194;4
195;20
196;3
197;2
198;3
199;2
200;20
201;9
202;5
203;8
204;4
205;12
206;6
207;3
208;1
209;1
210;15
211;3
212;0
213;8
214;2
215;12
216;5
217;1
218;4
219;0
220;13
221;6
222;3
223;8
224;3
225;16
226;4
227;3
228;5
229;3
230;16
231;7
232;6
233;4
234;2
235;9
236;2
237;4
238;1
239;0
