Slot;Anzahl
720;49
721;0
722;5
723;2
724;0
725;23
726;2
727;4
728;2
729;2
730;30
731;4
732;5
733;2
734;4
735;32
736;2
737;9
738;3
739;3
740;23
741;2
742;7
743;3
744;2
745;22
746;2
747;2
748;2
749;5
750;29
751;0
752;3
753;3
754;2
755;25
756;0
757;2
758;1
759;3
760;26
761;2
762;2
763;1
764;2
765;16
766;2
767;1
768;4
769;3
770;17
771;1
772;3
773;2
774;0
775;13
776;1
777;0
778;1
779;1
780;19
781;4
782;0
783;5
784;2
785;12
786;0
787;1
788;5
789;0
790;16
791;0
792;2
793;1
794;2
795;12
796;1
797;1
798;0
799;0
800;5
801;0
802;1
803;1
804;0
805;8
806;0
807;0
808;0
809;0
810;11
811;0
812;0
813;0
814;0
815;1
816;0
817;2
818;1
819;0
820;9
821;0
822;0
823;0
824;0
825;8
826;0
827;1
828;1
829;1
830;5
831;0
832;0
833;0
834;0
835;7
836;0
837;0
838;1
839;0
840;20
841;1
842;0
843;0
844;2
845;3
846;0
847;0
848;0
849;0
850;6
851;1
852;0
853;1
854;2
855;9
856;2
857;0
858;0
859;1
860;5
861;0
862;1
863;0
864;0
865;1
866;0
867;0
868;0
869;0
870;10
871;0
872;0
873;0
874;0
875;5
876;0
877;0
878;0
879;0
880;6
881;0
882;2
883;0
884;0
885;3
886;1
887;1
888;1
889;0
890;4
891;0
892;0
893;0
894;2
895;3
896;0
897;0
898;0
899;0
900;11
901;0
902;0
903;0
904;0
905;3
906;0
907;0
908;0
909;0
910;3
911;1
912;0
913;0
914;0
915;0
916;0
917;0
918;0
919;1
920;4
921;0
922;0
923;1
924;0
925;2
926;0
927;0
928;1
929;0
930;6
931;0
932;0
933;0
934;0
935;4
936;2
937;1
938;0
939;0
940;0
941;0
942;0
943;0
944;0
945;4
946;0
947;0
948;0
949;0
950;1
951;0
952;0
953;0
954;0
955;2
956;0
957;0
958;0
959;0
960;6
961;0
962;0
963;1
964;0
965;3
966;0
967;1
968;0
969;0
970;4
971;0
972;0
973;0
974;0
975;3
976;0
977;0
978;0
979;0
980;4
981;0
982;0
983;0
984;0
985;1
986;0
987;0
988;0
989;0
990;5
991;1
992;0
993;0
994;0
995;0
996;0
997;0
998;0
999;1
1000;5
1001;0
1002;0
1003;0
1004;1
1005;1
1006;0
1007;0
1008;0
1009;2
1010;0
1011;0
1012;0
1013;0
1014;0
1015;0
1016;0
1017;0
1018;0
1019;0
1020;8
1021;0
1022;0
1023;1
1024;1
1025;2
1026;1
1027;0
1028;0
1029;1
1030;1
1031;0
1032;0
1033;1
1034;0
1035;2
1036;1
1037;0
1038;0
1039;0
1040;2
1041;0
1042;0
1043;0
1044;0
1045;0
1046;0
1047;0
1048;0
1049;0
1050;2
1051;0
1052;0
1053;0
1054;0
1055;2
1056;0
1057;0
1058;0
1059;0
1060;2
1061;0
1062;0
1063;2
1064;0
1065;4
1066;0
1067;1
1068;0
1069;0
1070;2
1071;0
1072;0
1073;0
1074;0
1075;2
