Bezeichnung_Parameter;Bezeichnung_Alternative;Wert_Parameter
Grundnutzen;1;0
Grundnutzen;2;1.8022
Grundnutzen;3;4.1591
Grundnutzen;4;6.1005
Grundnutzen;5;6.5125
Grundnutzen;6;6.1722
Grundnutzen;7;6.1786
Grundnutzen;8;5.4611
Grundnutzen;9;5.6237
Grundnutzen;10;4.9042
Grundnutzen;11;4.2223
Grundnutzen;12;4.7568
Grundnutzen;13;3.2685
Grundnutzen;14;3.5058
Grundnutzen;15;6.2908
mittl_zeit_akt_1bis14min;1;0
mittl_zeit_akt_1bis14min;2;-0.2966
mittl_zeit_akt_1bis14min;3;-1.9512
mittl_zeit_akt_1bis14min;4;-3.9202
mittl_zeit_akt_1bis14min;5;-5.3789
mittl_zeit_akt_1bis14min;6;-8.0355
mittl_zeit_akt_1bis14min;7;-8.5641
mittl_zeit_akt_1bis14min;8;-20.3286
mittl_zeit_akt_1bis14min;9;-20.0732
mittl_zeit_akt_1bis14min;10;-19.9383
mittl_zeit_akt_1bis14min;11;-16.1727
mittl_zeit_akt_1bis14min;12;-17.6573
mittl_zeit_akt_1bis14min;13;-18.8667
mittl_zeit_akt_1bis14min;14;-18.4771
mittl_zeit_akt_1bis14min;15;-26.5653
mittl_zeit_akt_15bis29min;1;0
mittl_zeit_akt_15bis29min;2;0.6858
mittl_zeit_akt_15bis29min;3;-0.4291
mittl_zeit_akt_15bis29min;4;-1.9249
mittl_zeit_akt_15bis29min;5;-3.0698
mittl_zeit_akt_15bis29min;6;-4.6395
mittl_zeit_akt_15bis29min;7;-5.2264
mittl_zeit_akt_15bis29min;8;-6.4555
mittl_zeit_akt_15bis29min;9;-6.6031
mittl_zeit_akt_15bis29min;10;-18.1968
mittl_zeit_akt_15bis29min;11;-15.3761
mittl_zeit_akt_15bis29min;12;-5.4911
mittl_zeit_akt_15bis29min;13;-16.7528
mittl_zeit_akt_15bis29min;14;-16.6303
mittl_zeit_akt_15bis29min;15;-8.5938
mittl_zeit_akt_30bis59min;1;0
mittl_zeit_akt_30bis59min;2;0.7664
mittl_zeit_akt_30bis59min;3;0.3709
mittl_zeit_akt_30bis59min;4;-0.6117
mittl_zeit_akt_30bis59min;5;-1.4895
mittl_zeit_akt_30bis59min;6;-2.3825
mittl_zeit_akt_30bis59min;7;-3.2040
mittl_zeit_akt_30bis59min;8;-4.1982
mittl_zeit_akt_30bis59min;9;-4.4295
mittl_zeit_akt_30bis59min;10;-4.5253
mittl_zeit_akt_30bis59min;11;-4.5385
mittl_zeit_akt_30bis59min;12;-4.5882
mittl_zeit_akt_30bis59min;13;-4.1974
mittl_zeit_akt_30bis59min;14;-6.3766
mittl_zeit_akt_30bis59min;15;-6.8548
mittl_zeit_akt_60bis119min;1;0
mittl_zeit_akt_60bis119min;2;0.7429
mittl_zeit_akt_60bis119min;3;0.5140
mittl_zeit_akt_60bis119min;4;0.2803
mittl_zeit_akt_60bis119min;5;-0.2865
mittl_zeit_akt_60bis119min;6;-1.0043
mittl_zeit_akt_60bis119min;7;-1.7160
mittl_zeit_akt_60bis119min;8;-2.3351
mittl_zeit_akt_60bis119min;9;-2.3871
mittl_zeit_akt_60bis119min;10;-2.8010
mittl_zeit_akt_60bis119min;11;-2.9559
mittl_zeit_akt_60bis119min;12;-3.3494
mittl_zeit_akt_60bis119min;13;-2.3672
mittl_zeit_akt_60bis119min;14;-3.4871
mittl_zeit_akt_60bis119min;15;-3.3156
mittl_zeit_akt_120bis179min;1;0
mittl_zeit_akt_120bis179min;2;0.8530
mittl_zeit_akt_120bis179min;3;0.5975
mittl_zeit_akt_120bis179min;4;0.5694
mittl_zeit_akt_120bis179min;5;0.5399
mittl_zeit_akt_120bis179min;6;-0.0440
mittl_zeit_akt_120bis179min;7;-0.6519
mittl_zeit_akt_120bis179min;8;-1.1651
mittl_zeit_akt_120bis179min;9;-1.4586
mittl_zeit_akt_120bis179min;10;-1.8012
mittl_zeit_akt_120bis179min;11;-1.7159
mittl_zeit_akt_120bis179min;12;-2.1464
