Slot;Anzahl
120;1254
121;46
122;98
123;70
124;60
125;613
126;59
127;62
128;78
129;44
130;707
131;31
132;80
133;63
134;60
135;846
136;46
137;65
138;62
139;40
140;600
141;23
142;53
143;56
144;32
145;501
146;36
147;65
148;49
149;45
150;827
151;33
152;48
153;44
154;35
155;453
156;23
157;44
158;48
159;36
160;555
161;28
162;61
163;60
164;31
165;592
166;30
167;36
168;45
169;34
170;507
171;25
172;39
173;35
174;28
175;380
176;26
177;50
178;50
179;33
