Slot;Anzahl
120;603
121;22
122;32
123;35
124;26
125;229
126;30
127;24
128;21
129;27
130;246
131;25
132;25
133;21
134;19
135;366
136;17
137;21
138;25
139;19
140;264
141;21
142;18
143;29
144;21
145;155
146;20
147;24
148;16
149;15
150;366
151;18
152;26
153;17
154;15
155;171
156;19
157;26
158;28
159;22
160;179
161;17
162;22
163;21
164;14
165;238
166;12
167;9
168;29
169;14
170;176
171;19
172;20
173;14
174;11
175;126
176;17
177;14
178;25
179;11
