Bezeichnung_Parameter;Bezeichnung_Alternative;Wert_Parameter
Grundnutzen;1;0
Grundnutzen;2;1.4166
Grundnutzen;3;4.4923
Grundnutzen;4;5.3296
Grundnutzen;5;5.3757
Grundnutzen;6;4.7193
Grundnutzen;7;3.5305
Grundnutzen;8;2.7473
Grundnutzen;9;3.2830
Grundnutzen;10;3.0706
Grundnutzen;11;1.3601
Grundnutzen;12;1.5348
Grundnutzen;13;1.2217
Grundnutzen;14;1.2836
Grundnutzen;15;2.0529
Grundnutzen;16;0.6064
beruf_schueler;1;0
beruf_schueler;2;8.1463
beruf_schueler;3;8.0775
beruf_schueler;4;9.6610
beruf_schueler;5;10.5099
beruf_schueler;6;10.2114
beruf_schueler;7;10.8371
beruf_schueler;8;10.9124
beruf_schueler;9;11.0790
beruf_schueler;10;10.7897
beruf_schueler;11;10.8499
beruf_schueler;12;10.5742
beruf_schueler;13;11.1086
beruf_schueler;14;9.9601
beruf_schueler;15;1.2977
beruf_schueler;16;1.5595
haushalthatkinderunter18;1;0
haushalthatkinderunter18;2;-1.2139
haushalthatkinderunter18;3;-0.2609
haushalthatkinderunter18;4;-0.1922
haushalthatkinderunter18;5;0.0574
haushalthatkinderunter18;6;-0.1389
haushalthatkinderunter18;7;-0.7788
haushalthatkinderunter18;8;-0.7444
haushalthatkinderunter18;9;-0.8914
haushalthatkinderunter18;10;-0.4475
haushalthatkinderunter18;11;-1.1668
haushalthatkinderunter18;12;-0.2338
haushalthatkinderunter18;13;-0.6639
haushalthatkinderunter18;14;-0.1409
haushalthatkinderunter18;15;-0.8069
haushalthatkinderunter18;16;-1.3348
alter_10bis17;1;0
alter_10bis17;2;9.3784
alter_10bis17;3;7.6829
alter_10bis17;4;8.5941
alter_10bis17;5;8.4106
alter_10bis17;6;6.3233
alter_10bis17;7;6.3454
alter_10bis17;8;5.1724
alter_10bis17;9;5.7114
alter_10bis17;10;5.4885
alter_10bis17;11;7.5280
alter_10bis17;12;7.0052
alter_10bis17;13;-2.5290
alter_10bis17;14;-1.7263
alter_10bis17;15;2.2583
alter_10bis17;16;3.3018
anztagemit_tourenvorht;1;0
anztagemit_tourenvorht;2;0.2392
anztagemit_tourenvorht;3;0.3725
anztagemit_tourenvorht;4;0.2168
anztagemit_tourenvorht;5;0.3245
anztagemit_tourenvorht;6;0.6209
anztagemit_tourenvorht;7;0.8167
anztagemit_tourenvorht;8;0.7644
anztagemit_tourenvorht;9;0.8731
anztagemit_tourenvorht;10;0.9888
anztagemit_tourenvorht;11;1.0194
anztagemit_tourenvorht;12;0.9637
anztagemit_tourenvorht;13;0.8631
anztagemit_tourenvorht;14;0.9099
anztagemit_tourenvorht;15;1.2407
anztagemit_tourenvorht;16;1.2503
anztagemit_tourennachht;1;0
anztagemit_tourennachht;2;-0.0224
anztagemit_tourennachht;3;-0.1154
anztagemit_tourennachht;4;-0.1284
anztagemit_tourennachht;5;-0.0703
anztagemit_tourennachht;6;-0.2453
anztagemit_tourennachht;7;-0.3189
anztagemit_tourennachht;8;-0.4134
anztagemit_tourennachht;9;-0.6653
anztagemit_tourennachht;10;-1.0677
anztagemit_tourennachht;11;-0.7874
anztagemit_tourennachht;12;-1.0404
anztagemit_tourennachht;13;-1.0864
anztagemit_tourennachht;14;-1.3289
anztagemit_tourennachht;15;-1.8499
anztagemit_tourennachht;16;-9.0290
