Slot;Anzahl
1200;67
1201;0
1202;1
1203;2
1204;0
1205;11
1206;1
1207;1
1208;2
1209;1
1210;13
1211;0
1212;0
1213;0
1214;2
1215;20
1216;1
1217;2
1218;1
1219;1
1220;10
1221;0
1222;1
1223;1
1224;2
1225;3
1226;0
1227;0
1228;0
1229;0
1230;36
1231;1
1232;1
1233;1
1234;1
1235;2
1236;1
1237;0
1238;0
1239;0
1240;13
1241;1
1242;0
1243;2
1244;1
1245;16
1246;0
1247;3
1248;1
1249;1
1250;8
1251;0
1252;0
1253;0
1254;0
1255;4
1256;1
1257;0
1258;0
1259;0
1260;40
1261;0
1262;2
1263;0
1264;1
1265;6
1266;0
1267;2
1268;1
1269;0
1270;9
1271;0
1272;0
1273;0
1274;0
1275;23
1276;2
1277;0
1278;2
1279;0
1280;9
1281;0
1282;0
1283;0
1284;0
1285;4
1286;0
1287;1
1288;1
1289;0
1290;26
1291;0
1292;1
1293;1
1294;0
1295;9
1296;1
1297;1
1298;1
1299;0
1300;5
1301;2
1302;1
1303;0
1304;0
1305;10
1306;0
1307;0
1308;0
1309;0
1310;4
1311;0
1312;0
1313;0
1314;0
1315;1
1316;0
1317;0
1318;1
1319;1
