Bezeichnung_Parameter;Bezeichnung_Alternative;Wert_Parameter
Grundnutzen;1;-2.5819
Grundnutzen;2;-2.2132
Grundnutzen;3;-4.0218
Grundnutzen;4;0
beruf_rentner;1;0.5140
beruf_rentner;2;0.5994
beruf_rentner;3;0.3335
beruf_rentner;4;0
beruf_schueler;1;-0.4608
beruf_schueler;2;-0.5301
beruf_schueler;3;0.2574
beruf_schueler;4;0
beruf_azubi;1;-0.9396
beruf_azubi;2;-1.0936
beruf_azubi;3;-0.6469
beruf_azubi;4;0
anzahlkinder_u18;1;-0.1528
anzahlkinder_u18;2;0.1598
anzahlkinder_u18;3;0.3361
anzahlkinder_u18;4;0
haushalthatkinderunter10;1;-0.1507
haushalthatkinderunter10;2;-0.7287
haushalthatkinderunter10;3;-1.0404
haushalthatkinderunter10;4;0
tag_fr;1;0.2355
tag_fr;2;0.2267
tag_fr;3;0.0531
tag_fr;4;0
tag_sa;1;0.7457
tag_sa;2;0.7468
tag_sa;3;0.4948
tag_sa;4;0
tag_so;1;1.1129
tag_so;2;1.3158
tag_so;3;0.4066
tag_so;4;0
haupttour_work;1;-0.6512
haupttour_work;2;-0.4936
haupttour_work;3;-0.3509
haupttour_work;4;0
haupttour_education;1;-0.2679
haupttour_education;2;-0.3558
haupttour_education;3;0.3019
haupttour_education;4;0
aktzweck_leisure;1;0.6407
aktzweck_leisure;2;-0.7990
aktzweck_leisure;3;0.2829
aktzweck_leisure;4;0
aktzweck_shopping;1;0.8224
aktzweck_shopping;2;-2.1700
aktzweck_shopping;3;-0.0340
aktzweck_shopping;4;0
aktzweck_transport;1;-0.1543
aktzweck_transport;2;-2.6643
aktzweck_transport;3;1.4465
aktzweck_transport;4;0
aktzweck_work;1;-1.1493
aktzweck_work;2;-2.9529
aktzweck_work;3;-0.5411
aktzweck_work;4;0
dauer_akt;1;0.000695
dauer_akt;2;-0.00463
dauer_akt;3;0.00133
dauer_akt;4;0
start_stunde_akt_0_5;1;-0.2030
start_stunde_akt_0_5;2;0.8608
start_stunde_akt_0_5;3;-0.1450
start_stunde_akt_0_5;4;0
start_stunde_akt_6_8;1;-0.5480
start_stunde_akt_6_8;2;-0.00065
start_stunde_akt_6_8;3;-0.0664
start_stunde_akt_6_8;4;0
start_stunde_akt_10_12;1;0.2335
start_stunde_akt_10_12;2;0.2988
start_stunde_akt_10_12;3;-0.1633
start_stunde_akt_10_12;4;0
start_stunde_akt_13_15;1;0.2975
start_stunde_akt_13_15;2;0.7103
start_stunde_akt_13_15;3;0.0639
start_stunde_akt_13_15;4;0
start_stunde_akt_16_18;1;0.3859
start_stunde_akt_16_18;2;0.6038
start_stunde_akt_16_18;3;0.1948
start_stunde_akt_16_18;4;0
start_stunde_akt_19_21;1;0.3646
start_stunde_akt_19_21;2;0.1368
start_stunde_akt_19_21;3;-0.2101
start_stunde_akt_19_21;4;0
start_stunde_akt_22_23;1;-0.7446
start_stunde_akt_22_23;2;0.3263
start_stunde_akt_22_23;3;-0.7715
start_stunde_akt_22_23;4;0
letztetourdestages;1;0.3676
letztetourdestages;2;0.3660
letztetourdestages;3;0.2426
letztetourdestages;4;0
ersteaktamtag;1;0.0968
ersteaktamtag;2;0.1638
ersteaktamtag;3;0.3568
ersteaktamtag;4;0
