Bezeichnung_Parameter;Bezeichnung_Alternative;Wert_Parameter
Grundnutzen;1;-3.6837
Grundnutzen;2;-5.3808
Grundnutzen;3;-7.2629
Grundnutzen;4;-7.6147
Grundnutzen;5;-6.2095
Grundnutzen;6;-19.9765
Grundnutzen;7;-8.6375
Grundnutzen;0;0
beruf_erwerbstaetig;1;-0.0309
beruf_erwerbstaetig;2;0.6181
beruf_erwerbstaetig;3;0.6163
beruf_erwerbstaetig;4;0.1156
beruf_erwerbstaetig;5;0.7225
beruf_erwerbstaetig;6;6.9806
beruf_erwerbstaetig;7;-8.4610
beruf_erwerbstaetig;0;0
beruf_schueler;1;1.7797
beruf_schueler;2;3.0265
beruf_schueler;3;3.1352
beruf_schueler;4;3.3109
beruf_schueler;5;3.9314
beruf_schueler;6;10.1357
beruf_schueler;7;3.0937
beruf_schueler;0;0
beruf_azubi;1;1.9284
beruf_azubi;2;3.3246
beruf_azubi;3;2.9263
beruf_azubi;4;3.1657
beruf_azubi;5;4.3272
beruf_azubi;6;10.7913
beruf_azubi;7;4.4255
beruf_azubi;0;0
alter_10bis17;1;1.1245
alter_10bis17;2;2.3716
alter_10bis17;3;5.0566
alter_10bis17;4;6.5826
alter_10bis17;5;6.3976
alter_10bis17;6;10.1219
alter_10bis17;7;3.2337
alter_10bis17;0;0
alter_18bis25;1;1.0811
alter_18bis25;2;1.6515
alter_18bis25;3;3.8711
alter_18bis25;4;4.5985
alter_18bis25;5;3.7410
alter_18bis25;6;8.2822
alter_18bis25;7;2.3171
alter_18bis25;0;0
alter_26bis35;1;0.2360
alter_26bis35;2;0.7754
alter_26bis35;3;2.8639
alter_26bis35;4;3.6671
alter_26bis35;5;2.1711
alter_26bis35;6;6.8287
alter_26bis35;7;-4.1795
alter_26bis35;0;0
alter_36bis50;1;0.1252
alter_36bis50;2;0.4040
alter_36bis50;3;1.8879
alter_36bis50;4;2.5828
alter_36bis50;5;2.0582
alter_36bis50;6;6.3302
alter_36bis50;7;-3.5479
alter_36bis50;0;0
anztage_w;1;-0.0419
anztage_w;2;-0.1913
anztage_w;3;-0.3825
anztage_w;4;-0.6194
anztage_w;5;-0.9444
anztage_w;6;-0.8178
anztage_w;7;-0.8655
anztage_w;0;0
