Bezeichnung_Parameter;Bezeichnung_Alternative;Wert_Parameter
Grundnutzen;W;-1.7501
Grundnutzen;E;-2.5271
Grundnutzen;L;0
Grundnutzen;S;-0.5772
Grundnutzen;T;-0.3648
beruf_vollzeit;W;-0.9697
beruf_vollzeit;E;0.5000
beruf_vollzeit;L;0
beruf_vollzeit;S;0.0428
beruf_vollzeit;T;0.4146
beruf_teilzeit;W;-1.3653
beruf_teilzeit;E;0.4529
beruf_teilzeit;L;0
beruf_teilzeit;S;-0.00410
beruf_teilzeit;T;0.5462
beruf_ohneerwerb;W;-0.1735
beruf_ohneerwerb;E;-0.1959
beruf_ohneerwerb;L;0
beruf_ohneerwerb;S;0.0147
beruf_ohneerwerb;T;0.5708
beruf_schueler;W;-0.3361
beruf_schueler;E;-0.6008
beruf_schueler;L;0
beruf_schueler;S;-0.2357
beruf_schueler;T;0.0648
beruf_azubi;W;-0.7533
beruf_azubi;E;-0.7283
beruf_azubi;L;0
beruf_azubi;S;-0.2806
beruf_azubi;T;0.0453
haupttour_work;W;1.1157
haupttour_work;E;0.7486
haupttour_work;L;0
haupttour_work;S;-0.4049
haupttour_work;T;-0.2881
haupttour_education;W;0.7885
haupttour_education;E;0.4766
haupttour_education;L;0
haupttour_education;S;-0.3622
haupttour_education;T;-0.7766
haupttour_shopping;W;0.1578
haupttour_shopping;E;0.3754
haupttour_shopping;L;0
haupttour_shopping;S;0.1575
haupttour_shopping;T;0.6828
haupttour_transport;W;-0.1555
haupttour_transport;E;0.1499
haupttour_transport;L;0
haupttour_transport;S;0.2327
haupttour_transport;T;0.7680
tag_fr;W;-0.5263
tag_fr;E;-0.7106
tag_fr;L;0
tag_fr;S;0.0797
tag_fr;T;-0.0518
tag_sa;W;-1.3667
tag_sa;E;-3.0991
tag_sa;L;0
tag_sa;S;-0.0465
tag_sa;T;-0.9960
tag_so;W;-1.9997
tag_so;E;-3.6256
tag_so;L;0
tag_so;S;-2.0657
tag_so;T;-1.2149
tour1destages;W;0.8812
tour1destages;E;1.9136
tour1destages;L;0
tour1destages;S;1.1478
tour1destages;T;0.1461
tour2destages;W;0.4393
tour2destages;E;0.6323
tour2destages;L;0
tour2destages;S;0.8921
tour2destages;T;0.1155
tour3destages;W;0.1969
tour3destages;E;0.1368
tour3destages;L;0
tour3destages;S;0.2871
tour3destages;T;0.0808
tourliegtvorhaupttour;W;0.9663
tourliegtvorhaupttour;E;0.2895
tourliegtvorhaupttour;L;0
tourliegtvorhaupttour;S;0.6183
tourliegtvorhaupttour;T;0.6063
anzahl_arbeitstage0;W;-18.3170
anzahl_arbeitstage0;E;-0.0728
anzahl_arbeitstage0;L;0
anzahl_arbeitstage0;S;-0.2003
anzahl_arbeitstage0;T;0.0342
anzahl_bildungstage0;W;-0.4234
anzahl_bildungstage0;E;-18.0594
anzahl_bildungstage0;L;0
anzahl_bildungstage0;S;-0.0225
anzahl_bildungstage0;T;-0.0521
anzahl_shoppingtage0;W;0.2598
anzahl_shoppingtage0;E;-0.3400
anzahl_shoppingtage0;L;0
anzahl_shoppingtage0;S;-18.7611
anzahl_shoppingtage0;T;0.3509
anzahl_transporttage0;W;-0.0111
anzahl_transporttage0;E;0.1226
anzahl_transporttage0;L;0
anzahl_transporttage0;S;-0.0929
anzahl_transporttage0;T;-16.9907
anzahl_arbeitstage1;W;-0.9385
anzahl_arbeitstage1;E;-0.2758
anzahl_arbeitstage1;L;0
anzahl_arbeitstage1;S;-0.1150
anzahl_arbeitstage1;T;0.0996
anzahl_bildungstage1;W;-0.3050
anzahl_bildungstage1;E;-0.7765
anzahl_bildungstage1;L;0
anzahl_bildungstage1;S;-0.1458
anzahl_bildungstage1;T;-0.2836
anzahl_shoppingtage1;W;0.1728
anzahl_shoppingtage1;E;-0.1335
anzahl_shoppingtage1;L;0
anzahl_shoppingtage1;S;-1.1941
anzahl_shoppingtage1;T;0.1898
anzahl_transporttage1;W;0.0593
anzahl_transporttage1;E;0.1842
anzahl_transporttage1;L;0
anzahl_transporttage1;S;-0.0387
anzahl_transporttage1;T;-1.3796
