paramname;in;alternative;contextIdentifier
anzakt_woche_w;yes;no;person
anzakt_woche_e;yes;no;person
beruf_vollzeit;yes;no;default
beruf_teilzeit;yes;no;default
beruf_schueler;yes;no;default
beruf_azubi;yes;no;default
male;yes;no;default
alter_18bis25;yes;no;default
alter_26bis35;yes;no;default
alter_36bis50;yes;no;default
alter_51bis60;yes;no;default
tagemit_wakt_1;yes;no;person
tagemit_wakt_2;yes;no;person
tagemit_wakt_3;yes;no;person
tagemit_wakt_4;yes;no;person
tagemit_wakt_5;yes;no;person
tagemit_wakt_6;yes;no;person
1;no;yes;person
2;no;yes;person
3;no;yes;person
4;no;yes;person
5;no;yes;person
6;no;yes;person
7;no;yes;person
8;no;yes;person
9;no;yes;person
