Slot;Anzahl
1201;0
1202;1
1203;2
1204;1
1205;7
1206;1
1207;2
1208;1
1209;1
1210;10
1211;3
1212;1
1213;2
1214;0
1215;6
1216;5
1217;2
1218;0
1219;1
1220;8
1221;1
1222;2
1223;1
1224;0
1225;7
1226;1
1227;5
1228;2
1229;0
1230;5
1231;2
1232;3
1233;0
1234;0
1235;2
1236;0
1237;3
1238;2
1239;0
1240;3
1241;0
1242;2
1243;0
1244;5
1245;6
1246;0
1247;1
1248;1
1249;1
1250;10
1251;1
1252;1
1253;2
1254;1
1255;6
1256;1
1257;1
1258;1
1259;0
1260;11
1261;4
1262;0
1263;0
1264;2
1265;6
1266;2
1267;2
1268;0
1269;2
1270;10
1271;0
1272;1
1273;0
1274;3
1275;10
1276;3
1277;2
1278;3
1279;2
1280;4
1281;3
1282;0
1283;0
1284;0
1285;3
1286;2
1287;0
1288;0
1289;3
1290;5
1291;0
1292;2
1293;0
1294;0
1295;7
1296;2
1297;1
1298;1
1299;1
1300;2
1301;0
1302;0
1303;1
1304;2
1305;4
1306;2
1307;4
1308;5
1309;0
1310;3
1311;1
1312;1
1313;0
1314;1
1315;9
1316;1
1317;2
1318;2
1319;3
1320;5
1321;0
1322;1
1323;0
1324;1
1325;7
1326;0
1327;1
1328;1
1329;3
1330;7
1331;0
1332;1
1333;2
1334;1
1335;10
1336;1
1337;0
1338;0
1339;1
1340;6
1341;2
1342;1
1343;0
1344;0
1345;3
1346;1
1347;2
1348;1
1349;2
1350;15
1351;3
1352;3
1353;2
1354;0
1355;8
1356;2
1357;0
1358;1
1359;0
1360;8
1361;2
1362;1
1363;3
1364;2
1365;9
1366;0
1367;1
1368;0
1369;1
1370;5
1371;0
1372;0
1373;0
1374;0
1375;5
1376;2
1377;1
1378;1
1379;1
1380;11
1381;0
1382;1
1383;1
1384;0
1385;4
1386;1
1387;3
1388;2
1389;0
1390;7
1391;2
1392;2
1393;2
1394;0
1395;7
1396;2
1397;1
1398;3
1399;3
1400;3
1401;1
1402;3
1403;1
1404;1
1405;2
1406;0
1407;1
1408;2
1409;2
1410;9
1411;1
1412;1
1413;1
1414;0
1415;7
1416;2
1417;0
1418;1
1419;2
1420;8
1421;0
1422;0
1423;2
1424;3
1425;14
1426;1
1427;1
1428;0
1429;1
1430;9
1431;0
1432;0
1433;2
1434;4
1435;5
1436;0
1437;2
1438;2
1439;1
1440;3
1441;3
1442;2
1443;3
1444;2
1445;4
1446;1
1447;0
1448;0
1449;1
1450;14
1451;2
1452;2
1453;1
1454;0
1455;14
1456;2
1457;1
1458;2
1459;1
1460;6
1461;0
1462;0
1463;3
1464;1
1465;5
1466;0
1467;1
1468;0
1469;2
1470;8
1471;2
1472;3
1473;3
1474;1
1475;5
1476;2
1477;0
1478;4
1479;0
1480;9
1481;1
1482;4
1483;3
1484;4
1485;12
1486;5
1487;4
1488;3
1489;1
1490;6
1491;2
1492;1
1493;1
1494;2
1495;11
1496;1
1497;1
1498;3
1499;0
1500;9
