Slot;Anzahl
1200;9
1201;8
1202;1
1203;1
1204;2
1205;7
1206;6
1207;4
1208;1
1209;2
1210;9
1211;6
1212;2
1213;2
1214;6
1215;12
1216;2
1217;3
1218;2
1219;1
1220;7
1221;3
1222;3
1223;1
1224;2
1225;7
1226;2
1227;1
1228;0
1229;1
1230;9
1231;3
1232;6
1233;5
1234;2
1235;7
1236;4
1237;2
1238;0
1239;1
1240;9
1241;1
1242;2
1243;2
1244;3
1245;11
1246;1
1247;2
1248;1
1249;2
1250;5
1251;3
1252;4
1253;1
1254;2
1255;9
1256;0
1257;3
1258;5
1259;1
1260;11
1261;1
1262;2
1263;3
1264;0
1265;8
1266;6
1267;4
1268;3
1269;3
1270;10
1271;5
1272;4
1273;2
1274;7
1275;5
1276;3
1277;3
1278;1
1279;2
1280;9
1281;6
1282;4
1283;1
1284;3
1285;10
1286;0
1287;4
1288;4
1289;3
1290;5
1291;1
1292;1
1293;0
1294;0
1295;10
1296;4
1297;1
1298;2
1299;1
1300;11
1301;6
1302;6
1303;2
1304;2
1305;11
1306;5
1307;3
1308;3
1309;1
1310;11
1311;2
1312;3
1313;0
1314;4
1315;9
1316;0
1317;2
1318;1
1319;0
1320;9
1321;4
1322;6
1323;2
1324;3
1325;6
1326;3
1327;4
1328;1
1329;1
1330;7
1331;5
1332;2
1333;3
1334;2
1335;9
1336;3
1337;0
1338;4
1339;2
1340;6
1341;4
1342;1
1343;2
1344;3
1345;5
1346;5
1347;0
1348;1
1349;2
1350;7
1351;5
1352;5
1353;4
1354;3
1355;5
1356;3
1357;1
1358;4
1359;0
1360;8
1361;1
1362;2
1363;2
1364;2
1365;7
1366;3
1367;1
1368;0
1369;4
1370;6
1371;1
1372;3
1373;1
1374;0
1375;6
1376;4
1377;1
1378;1
1379;0
1380;10
1381;4
1382;6
1383;2
1384;0
1385;11
1386;4
1387;2
1388;0
1389;3
1390;6
1391;4
1392;4
1393;1
1394;3
1395;12
1396;5
1397;2
1398;2
1399;1
1400;8
1401;0
1402;4
1403;1
1404;0
1405;4
1406;2
1407;1
1408;2
1409;2
1410;8
1411;1
1412;2
1413;2
1414;1
1415;6
1416;4
1417;4
1418;6
1419;0
1420;5
1421;0
1422;3
1423;3
1424;1
1425;7
1426;2
1427;1
1428;1
1429;2
1430;8
1431;3
1432;2
1433;3
1434;1
1435;9
1436;1
1437;1
1438;2
1439;2
1440;6
1441;0
1442;3
1443;2
1444;0
1445;6
1446;4
1447;1
1448;1
1449;3
1450;5
1451;1
1452;1
1453;3
1454;2
1455;5
1456;2
1457;5
1458;2
1459;2
1460;3
1461;1
1462;3
1463;0
1464;2
1465;6
1466;2
1467;1
1468;1
1469;1
1470;8
1471;2
1472;1
1473;0
1474;1
1475;5
1476;2
1477;1
1478;1
1479;2
1480;6
1481;2
1482;2
1483;1
1484;1
1485;8
1486;1
1487;2
1488;0
1489;0
1490;3
1491;3
1492;1
1493;6
1494;0
1495;5
1496;1
1497;2
1498;1
1499;0
1500;5
1501;1
1502;0
1503;1
1504;0
1505;3
1506;1
1507;2
1508;4
1509;1
1510;3
1511;2
1512;2
1513;0
1514;0
1515;3
1516;1
1517;0
1518;1
1519;1
1520;4
1521;1
1522;1
1523;2
1524;1
1525;5
1526;3
1527;1
1528;2
1529;4
1530;4
1531;3
1532;4
1533;2
1534;3
1535;5
1536;2
1537;1
1538;1
1539;1
1540;4
1541;3
1542;1
1543;2
1544;0
1545;5
1546;0
1547;3
1548;1
1549;3
1550;6
1551;3
1552;3
1553;2
1554;0
1555;3
1556;1
1557;1
1558;0
1559;0
1560;4
1561;1
1562;1
1563;1
1564;1
1565;3
1566;1
1567;3
1568;0
1569;1
1570;9
1571;3
1572;0
1573;0
1574;1
1575;6
1576;2
1577;1
1578;2
1579;0
1580;9
1581;2
1582;0
1583;2
1584;1
1585;3
1586;1
1587;1
1588;2
1589;1
1590;1
1591;2
1592;1
1593;1
1594;0
1595;3
1596;1
1597;1
1598;0
1599;0
1600;6
1601;2
1602;2
1603;1
1604;0
1605;2
1606;2
1607;2
1608;0
1609;1
1610;6
1611;2
1612;3
1613;1
1614;0
1615;5
1616;6
1617;1
1618;2
1619;1
1620;2
1621;2
1622;1
1623;2
1624;1
1625;5
1626;1
1627;4
1628;1
1629;1
1630;1
1631;1
1632;0
1633;0
1634;0
1635;6
1636;2
1637;0
1638;0
1639;0
1640;5
1641;1
1642;3
1643;1
1644;1
1645;7
1646;2
1647;2
1648;1
1649;0
1650;5
1651;2
1652;2
1653;0
1654;0
1655;9
1656;3
1657;5
1658;1
1659;2
1660;3
1661;1
1662;0
1663;3
1664;3
1665;3
1666;1
1667;0
1668;1
1669;2
1670;3
1671;2
1672;1
1673;1
1674;1
1675;4
1676;3
1677;0
1678;1
1679;1
1680;2
1681;0
1682;0
1683;0
1684;2
1685;2
1686;1
1687;0
1688;1
1689;3
1690;7
1691;1
1692;0
1693;0
1694;3
1695;3
1696;0
1697;2
1698;0
1699;0
1700;3
1701;3
1702;2
1703;1
1704;1
1705;4
1706;1
1707;1
1708;1
1709;3
1710;4
1711;1
1712;1
1713;0
1714;0
1715;3
1716;1
1717;3
1718;1
1719;1
1720;6
1721;2
1722;3
1723;1
1724;3
1725;2
1726;0
1727;0
1728;0
1729;1
1730;0
1731;1
1732;1
1733;0
1734;0
1735;0
1736;1
1737;0
1738;3
1739;1
1740;5
1741;2
1742;1
1743;0
1744;0
1745;5
1746;1
1747;1
1748;1
1749;0
1750;1
1751;2
1752;1
1753;2
1754;2
1755;2
1756;2
1757;0
1758;1
1759;1
1760;2
1761;1
1762;1
1763;1
1764;1
1765;3
1766;1
1767;0
1768;1
1769;0
1770;4
1771;2
1772;1
1773;0
1774;0
1775;2
1776;1
1777;0
1778;3
1779;0
1780;3
1781;2
1782;1
1783;2
1784;0
1785;3
1786;1
1787;0
1788;0
1789;0
1790;3
1791;1
1792;0
1793;0
1794;0
1795;4
1796;0
1797;1
1798;1
1799;1
