Slot;Anzahl
240;77
241;32
242;24
243;20
244;27
245;61
246;21
247;22
248;20
249;18
250;65
251;23
252;23
253;20
254;13
255;70
256;10
257;19
258;13
259;12
260;71
261;18
262;17
263;16
264;14
265;56
266;18
267;20
268;12
269;8
270;78
271;14
272;22
273;15
274;18
275;51
276;9
277;20
278;22
279;16
280;49
281;11
282;20
283;21
284;15
285;76
286;12
287;10
288;16
289;8
290;66
291;9
292;12
293;13
294;9
295;43
296;18
297;8
298;6
299;8
300;65
301;11
302;13
303;7
304;7
305;56
306;14
307;19
308;11
309;6
310;45
311;11
312;17
313;8
314;10
315;44
316;7
317;7
318;9
319;10
320;52
321;16
322;16
323;19
324;11
325;42
326;12
327;6
328;13
329;8
330;55
331;12
332;7
333;7
334;8
335;33
336;11
337;11
338;8
339;16
340;49
341;13
342;12
343;11
344;3
345;43
346;12
347;8
348;11
349;7
350;34
351;9
352;14
353;7
354;11
355;38
356;14
357;8
358;9
359;6
