Bezeichnung_Parameter;Bezeichnung_Alternative;Wert_Parameter
Grundnutzen;1;0
Grundnutzen;2;-1.2365
Grundnutzen;3;-1.7208
Grundnutzen;4;-1.6474
anzakt_woche_w;1;0
anzakt_woche_w;2;-0.0387
anzakt_woche_w;3;-0.0611
anzakt_woche_w;4;-0.0570
anzakt_woche_s;1;0
anzakt_woche_s;2;-0.0486
anzakt_woche_s;3;-0.0505
anzakt_woche_s;4;-0.1095
anzakt_woche_t;1;0
anzakt_woche_t;2;0.2417
anzakt_woche_t;3;0.3177
anzakt_woche_t;4;0.3642
beruf_vollzeit;1;0
beruf_vollzeit;2;-0.2497
beruf_vollzeit;3;-0.1934
beruf_vollzeit;4;-0.6205
beruf_teilzeit;1;0
beruf_teilzeit;2;-0.1264
beruf_teilzeit;3;-0.0707
beruf_teilzeit;4;-0.5268
beruf_schueler;1;0
beruf_schueler;2;-0.7904
beruf_schueler;3;-0.5535
beruf_schueler;4;-0.5862
tagemit_takt_1;1;0
tagemit_takt_1;2;-0.4481
tagemit_takt_1;3;-0.3096
tagemit_takt_1;4;-0.8365
