Slot;Anzahl
120;1394
121;55
122;65
123;57
124;44
125;521
126;52
127;65
128;65
129;43
130;594
131;23
132;57
133;71
134;38
135;770
136;35
137;50
138;58
139;25
140;542
141;44
142;56
143;39
144;29
145;442
146;24
147;52
148;45
149;34
150;950
151;29
152;43
153;30
154;37
155;378
156;30
157;46
158;54
159;28
160;504
161;27
162;43
163;35
164;33
165;599
166;37
167;38
168;54
169;32
170;486
171;30
172;39
173;36
174;25
175;349
176;27
177;60
178;43
179;19
