Slot;Anzahl
720;5
721;0
722;2
723;0
724;0
725;5
726;0
727;0
728;0
729;0
730;2
731;1
732;2
733;1
734;3
735;7
736;0
737;1
738;0
739;0
740;5
741;0
742;0
743;0
744;2
745;3
746;1
747;1
748;1
749;0
750;12
751;0
752;2
753;1
754;1
755;4
756;1
757;1
758;1
759;0
760;4
761;2
762;0
763;0
764;1
765;5
766;0
767;0
768;0
769;0
770;3
771;0
772;0
773;1
774;0
775;2
776;0
777;1
778;0
779;0
780;5
781;0
782;0
783;1
784;0
785;3
786;0
787;0
788;0
789;0
790;2
791;0
792;0
793;0
794;3
795;2
796;0
797;1
798;0
799;2
800;4
801;0
802;0
803;0
804;0
805;3
806;0
807;0
808;1
809;0
810;6
811;0
812;0
813;1
814;0
815;4
816;0
817;0
818;0
819;0
820;4
821;0
822;0
823;0
824;1
825;3
826;0
827;0
828;0
829;0
830;0
831;1
832;1
833;0
834;0
835;3
836;1
837;0
838;1
839;0
840;4
841;0
842;0
843;0
844;0
845;4
846;0
847;0
848;0
849;0
850;3
851;0
852;0
853;0
854;0
855;4
856;0
857;0
858;1
859;0
860;3
861;0
862;1
863;0
864;0
865;0
866;0
867;2
868;1
869;0
870;2
871;0
872;0
873;0
874;0
875;4
876;0
877;0
878;0
879;0
880;0
881;0
882;1
883;0
884;1
885;5
886;2
887;0
888;1
889;1
890;2
891;0
892;0
893;0
894;0
895;2
896;1
897;1
898;0
899;0
900;3
901;0
902;0
903;0
904;0
905;0
906;0
907;0
908;0
909;0
910;1
911;0
912;0
913;0
914;0
915;2
916;1
917;0
918;0
919;1
920;2
921;0
922;0
923;0
924;0
925;0
926;0
927;0
928;1
929;1
930;2
931;0
932;1
933;0
934;0
935;3
936;0
937;0
938;0
939;0
940;3
941;0
942;0
943;0
944;0
945;5
946;0
947;0
948;0
949;0
950;0
951;0
952;0
953;1
954;0
955;1
956;0
957;0
958;0
959;0
960;6
961;0
962;1
963;0
964;0
965;2
966;0
967;0
968;0
969;0
970;2
971;1
972;0
973;0
974;0
975;0
976;1
977;0
978;0
979;0
980;2
981;0
982;0
983;0
984;0
985;1
986;0
987;0
988;0
989;0
990;1
991;1
992;1
993;0
994;0
995;1
996;1
997;0
998;0
999;0
1000;2
1001;0
1002;0
1003;0
1004;0
1005;3
1006;0
1007;1
1008;0
1009;1
1010;2
1011;0
1012;0
1013;0
1014;0
1015;0
1016;0
1017;0
1018;0
1019;1
1020;1
1021;0
1022;0
1023;0
1024;0
1025;1
1026;0
1027;1
1028;0
1029;0
1030;3
1031;0
1032;0
1033;1
1034;0
1035;0
1036;0
1037;0
1038;0
1039;0
1040;2
1041;0
1042;0
1043;0
1044;0
1045;0
1046;0
1047;0
1048;0
1049;0
1050;3
1051;0
1052;0
1053;0
1054;1
1055;0
1056;0
1057;0
1058;0
1059;0
1060;0
1061;0
1062;0
1063;0
1064;0
1065;1
1066;0
1067;0
1068;0
1069;0
1070;1
1071;0
1072;0
1073;0
1074;0
1075;0
1076;0
1077;0
1078;0
1079;0
1080;6
1081;0
1082;0
1083;0
1084;0
1085;1
1086;0
1087;0
1088;0
1089;0
1090;1
1091;0
1092;0
1093;0
1094;0
1095;0
1096;0
1097;0
1098;0
1099;0
1100;3
1101;0
1102;1
1103;0
1104;1
1105;0
1106;0
1107;0
1108;0
1109;0
1110;0
1111;0
1112;0
1113;0
1114;0
1115;2
1116;0
1117;0
1118;1
1119;0
1120;0
1121;0
1122;0
1123;0
1124;1
1125;1
1126;0
1127;0
1128;0
1129;0
1130;0
1131;0
1132;0
1133;0
1134;0
1135;1
1136;0
1137;0
1138;2
1139;0
1140;2
1141;0
1142;0
1143;0
1144;0
1145;0
1146;0
1147;0
1148;0
1149;0
1150;1
1151;1
1152;0
1153;1
1154;0
1155;1
1156;0
1157;0
1158;0
1159;0
1160;1
1161;0
1162;0
1163;0
1164;0
1165;0
1166;0
1167;0
1168;0
1169;0
1170;2
1171;0
1172;1
1173;0
1174;1
1175;1
1176;0
1177;0
1178;0
1179;0
1180;0
1181;0
1182;0
1183;0
1184;0
1185;0
1186;0
1187;0
1188;0
1189;1
1190;1
1191;0
1192;0
1193;0
1194;0
1195;1
1196;0
1197;0
1198;0
1199;0
1200;3
1201;0
1202;0
1203;0
1204;0
1205;0
1206;0
1207;0
1208;1
1209;0
1210;1
1211;1
1212;0
1213;0
1214;0
1215;1
1216;0
1217;0
1218;0
1219;0
1220;2
1221;0
1222;0
1223;0
1224;0
1225;1
1226;0
1227;0
1228;0
1229;0
1230;3
1231;0
1232;1
1233;0
1234;0
1235;1
1236;0
1237;0
1238;1
1239;0
1240;2
1241;0
1242;0
1243;0
1244;0
1245;1
1246;0
1247;0
1248;0
1249;0
1250;0
1251;0
1252;0
1253;0
1254;0
1255;0
1256;0
1257;0
1258;0
1259;0
1260;3
1261;0
1262;0
1263;1
1264;0
1265;1
1266;0
1267;0
1268;0
1269;0
1270;2
1271;0
1272;0
1273;0
1274;0
1275;0
1276;0
1277;0
1278;0
1279;0
1280;1
1281;0
1282;0
1283;0
1284;0
1285;0
1286;1
1287;0
1288;0
1289;1
1290;1
1291;0
1292;0
1293;0
