Bezeichnung_Parameter;Bezeichnung_Alternative;Wert_Parameter
Grundnutzen;11;0
Grundnutzen;41;-1.2079
Grundnutzen;42;-0.6227
male;11;0
male;41;-0.3353
male;42;-0.1664
dauer_akt_1bis14;11;0
dauer_akt_1bis14;41;2.1203
dauer_akt_1bis14;42;0.5534
dauer_akt_15bis29;11;0
dauer_akt_15bis29;41;2.6114
dauer_akt_15bis29;42;0.6976
dauer_akt_30bis59;11;0
dauer_akt_30bis59;41;2.2749
dauer_akt_30bis59;42;0.4916
dauer_akt_60bis119;11;0
dauer_akt_60bis119;41;1.5104
dauer_akt_60bis119;42;0.4282
dauer_akt_120bis179;11;0
dauer_akt_120bis179;41;0.8072
dauer_akt_120bis179;42;0.3771
dauer_akt_180bis239;11;0
dauer_akt_180bis239;41;0.6660
dauer_akt_180bis239;42;0.5062
beruf_vollzeit;11;0
beruf_vollzeit;41;-0.0259
beruf_vollzeit;42;0.3125
beruf_teilzeit;11;0
beruf_teilzeit;41;0.1606
beruf_teilzeit;42;0.2682
beruf_schueler;11;0
beruf_schueler;41;-0.0465
beruf_schueler;42;0.3464
tag_fr;11;0
tag_fr;41;0.4353
tag_fr;42;0.2791
tag_sa;11;0
tag_sa;41;1.3301
tag_sa;42;1.1022
tag_so;11;0
tag_so;41;-1.3211
tag_so;42;-0.9818
alter_10bis17;11;0
alter_10bis17;41;-0.6982
alter_10bis17;42;0.0893
alter_18bis25;11;0
alter_18bis25;41;-0.6447
alter_18bis25;42;0.0951
