Bezeichnung_Parameter;Bezeichnung_Alternative;Wert_Parameter
Grundnutzen;12;0
Grundnutzen;51;-1.3853
Grundnutzen;52;-1.6160
male;12;0
male;51;0.1088
male;52;0.2223
dauer_akt_1bis14;12;0
dauer_akt_1bis14;51;1.0909
dauer_akt_1bis14;52;1.4646
dauer_akt_15bis29;12;0
dauer_akt_15bis29;51;1.0899
dauer_akt_15bis29;52;0.6588
dauer_akt_30bis59;12;0
dauer_akt_30bis59;51;1.1991
dauer_akt_30bis59;52;0.9984
dauer_akt_60bis119;12;0
dauer_akt_60bis119;51;1.3237
dauer_akt_60bis119;52;1.6136
dauer_akt_120bis179;12;0
dauer_akt_120bis179;51;1.3631
dauer_akt_120bis179;52;1.4914
dauer_akt_180bis239;12;0
dauer_akt_180bis239;51;1.2676
dauer_akt_180bis239;52;1.0680
dauer_akt_240bis299;12;0
dauer_akt_240bis299;51;1.0406
dauer_akt_240bis299;52;0.8689
dauer_akt_300bis359;12;0
dauer_akt_300bis359;51;0.6358
dauer_akt_300bis359;52;0.4263
dauer_akt_360bis419;12;0
dauer_akt_360bis419;51;0.4967
dauer_akt_360bis419;52;0.4764
dauer_akt_420bis479;12;0
dauer_akt_420bis479;51;0.5386
dauer_akt_420bis479;52;0.8356
dauer_akt_480bis539;12;0
dauer_akt_480bis539;51;0.6038
dauer_akt_480bis539;52;0.3712
beruf_vollzeit;12;0
beruf_vollzeit;51;0.0474
beruf_vollzeit;52;0.1504
beruf_teilzeit;12;0
beruf_teilzeit;51;-0.1947
beruf_teilzeit;52;0.0573
beruf_schueler;12;0
beruf_schueler;51;0.0693
beruf_schueler;52;0.4326
beruf_azubi;12;0
beruf_azubi;51;0.1942
beruf_azubi;52;0.4250
alter_10bis17;12;0
alter_10bis17;51;-0.6305
alter_10bis17;52;0.0127
alter_18bis25;12;0
alter_18bis25;51;-0.5306
alter_18bis25;52;-0.4509
alter_26bis35;12;0
alter_26bis35;51;0.0187
alter_26bis35;52;-0.2178
alter_51bis60;12;0
alter_51bis60;51;-0.0405
alter_51bis60;52;-0.0735
ersteaktamtag;12;0
ersteaktamtag;51;-0.1420
ersteaktamtag;52;0.2458
tag_fr;12;0
tag_fr;51;0.0502
tag_fr;52;-0.1321
tag_sa;12;0
tag_sa;51;0.00533
tag_sa;52;-0.3647
tag_so;12;0
tag_so;51;0.1435
tag_so;52;-0.4627
