Bezeichnung_Parameter;Bezeichnung_Alternative;Wert_Parameter
Grundnutzen;1;0
Grundnutzen;2;-1.6268
male;1;0
male;2;0.5218
dauer_akt_1bis14;1;0
dauer_akt_1bis14;2;3.0502
dauer_akt_15bis29;1;0
dauer_akt_15bis29;2;2.7458
dauer_akt_30bis59;1;0
dauer_akt_30bis59;2;2.7805
dauer_akt_60bis119;1;0
dauer_akt_60bis119;2;2.5016
dauer_akt_120bis179;1;0
dauer_akt_120bis179;2;1.8140
dauer_akt_180bis239;1;0
dauer_akt_180bis239;2;1.0726
dauer_akt_240bis299;1;0
dauer_akt_240bis299;2;0.5211
dauer_akt_300bis359;1;0
dauer_akt_300bis359;2;0.4702
dauer_akt_360bis419;1;0
dauer_akt_360bis419;2;0.6627
dauer_akt_420bis479;1;0
dauer_akt_420bis479;2;0.6782
beruf_vollzeit;1;0
beruf_vollzeit;2;-0.5732
beruf_teilzeit;1;0
beruf_teilzeit;2;-1.0187
beruf_azubi;1;0
beruf_azubi;2;-1.4236
tag_sa;1;0
tag_sa;2;0.6164
tag_so;1;0
tag_so;2;0.7042
ersteaktamtag;1;0
ersteaktamtag;2;-0.4378
ersteaktintour;1;0
ersteaktintour;2;-0.8596
