Bezeichnung_Parameter;Bezeichnung_Alternative;Wert_Parameter
Grundnutzen;1;0
Grundnutzen;2;-1.755475086
male;1;0
male;2;0.4772035925
dauer_akt_1bis14;1;0
dauer_akt_1bis14;2;3.1202473523
dauer_akt_15bis29;1;0
dauer_akt_15bis29;2;2.9207055031
dauer_akt_30bis59;1;0
dauer_akt_30bis59;2;2.9305271665
dauer_akt_60bis119;1;0
dauer_akt_60bis119;2;2.6393470796
dauer_akt_120bis179;1;0
dauer_akt_120bis179;2;1.9807012726
dauer_akt_180bis239;1;0
dauer_akt_180bis239;2;1.194122961
dauer_akt_240bis299;1;0
dauer_akt_240bis299;2;0.5944011795
dauer_akt_300bis359;1;0
dauer_akt_300bis359;2;0.5257089749
dauer_akt_360bis419;1;0
dauer_akt_360bis419;2;0.6324098036
dauer_akt_420bis479;1;0
dauer_akt_420bis479;2;0.6945214344
ersteaktintour;1;0
ersteaktintour;2;-1.108289842
tag_sa;1;0
tag_sa;2;0.638992494
tag_so;1;0
tag_so;2;0.606966868
beruf_vollzeit;1;0
beruf_vollzeit;2;-0.613612875
beruf_teilzeit;1;0
beruf_teilzeit;2;-1.027276686
beruf_azubi;1;0
beruf_azubi;2;-1.381090805
