paramname;in;alternative;contextIdentifier
male;yes;no;default
dauer_akt_1bis14;yes;no;activity
dauer_akt_15bis29;yes;no;activity
dauer_akt_30bis59;yes;no;activity
dauer_akt_60bis119;yes;no;activity
dauer_akt_120bis179;yes;no;activity
dauer_akt_180bis239;yes;no;activity
dauer_akt_240bis299;yes;no;activity
dauer_akt_300bis359;yes;no;activity
dauer_akt_360bis419;yes;no;activity
dauer_akt_420bis479;yes;no;activity
ersteaktintour;yes;no;activity
tag_sa;yes;no;day
tag_so;yes;no;day
beruf_vollzeit;yes;no;default
beruf_teilzeit;yes;no;default
beruf_azubi;yes;no;default
1;no;yes;activity
2;no;yes;activity
