Nr_Parameter;Bezeichnung_Parameter;Nr_Alternative;Bezeichnung_Alternative;Wert_Parameter
0;Grundnutzen;1;1;0
0;Grundnutzen;2;2;19.840240346
0;Grundnutzen;3;3;15.215037577
0;Grundnutzen;4;4;26.335971985
0;Grundnutzen;5;5;35.5615609
0;Grundnutzen;6;6;24.649821797
0;Grundnutzen;7;7;36.017247379
0;Grundnutzen;8;8;38.335828218
0;Grundnutzen;9;9;40.475827877
0;Grundnutzen;10;10;40.102968966
0;Grundnutzen;11;11;37.774125755
0;Grundnutzen;12;12;39.528918379
0;Grundnutzen;13;13;39.764865217
0;Grundnutzen;14;14;38.570135826
0;Grundnutzen;15;15;27.973017978
0;Grundnutzen;16;16;16.174660894
1;beruf_vollzeit;1;1;0
1;beruf_vollzeit;2;2;-8.466983212
1;beruf_vollzeit;3;3;-9.260705045
1;beruf_vollzeit;4;4;-9.453919942
1;beruf_vollzeit;5;5;-9.422661864
1;beruf_vollzeit;6;6;-9.285571176
1;beruf_vollzeit;7;7;-9.611477744
1;beruf_vollzeit;8;8;-9.705720103
1;beruf_vollzeit;9;9;-10.0856481
1;beruf_vollzeit;10;10;-9.533652467
1;beruf_vollzeit;11;11;-7.940095286
1;beruf_vollzeit;12;12;-10.81403027
1;beruf_vollzeit;13;13;-10.43890682
1;beruf_vollzeit;14;14;-7.694828836
1;beruf_vollzeit;15;15;1.7744781339
1;beruf_vollzeit;16;16;2.1541106684
2;beruf_teilzeit;1;1;0
2;beruf_teilzeit;2;2;-7.874720695
2;beruf_teilzeit;3;3;-10.16114656
2;beruf_teilzeit;4;4;-10.24730838
2;beruf_teilzeit;5;5;-9.722106298
2;beruf_teilzeit;6;6;-9.27598512
2;beruf_teilzeit;7;7;-9.588372075
2;beruf_teilzeit;8;8;-9.456631288
2;beruf_teilzeit;9;9;-9.805097339
2;beruf_teilzeit;10;10;-9.136460391
2;beruf_teilzeit;11;11;-6.979625084
2;beruf_teilzeit;12;12;-9.934305453
2;beruf_teilzeit;13;13;-9.615051551
2;beruf_teilzeit;14;14;-6.728522726
2;beruf_teilzeit;15;15;1.1738594895
2;beruf_teilzeit;16;16;0.7115407807
3;beruf_schueler;1;1;0
3;beruf_schueler;2;2;-7.530565461
3;beruf_schueler;3;3;-10.60411943
3;beruf_schueler;4;4;-9.576678694
3;beruf_schueler;5;5;-8.848932283
3;beruf_schueler;6;6;-8.968579116
3;beruf_schueler;7;7;-8.475766561
3;beruf_schueler;8;8;-8.688690567
3;beruf_schueler;9;9;-9.021157581
3;beruf_schueler;10;10;-8.083333993
3;beruf_schueler;11;11;-6.263240527
3;beruf_schueler;12;12;-9.35434727
3;beruf_schueler;13;13;-8.794431995
3;beruf_schueler;14;14;-6.995343872
3;beruf_schueler;15;15;1.4888769056
3;beruf_schueler;16;16;-12.17817511
4;0;1;1;0
4;0;2;2;0
4;0;3;3;0
4;0;4;4;0
4;0;5;5;0
4;0;6;6;0
4;0;7;7;0
4;0;8;8;0
4;0;9;9;0
4;0;10;10;0
4;0;11;11;0
4;0;12;12;0
4;0;13;13;0
4;0;14;14;0
4;0;15;15;0
4;0;16;16;0
5;0;1;1;0
5;0;2;2;0
5;0;3;3;0
5;0;4;4;0
5;0;5;5;0
5;0;6;6;0
5;0;7;7;0
5;0;8;8;0
5;0;9;9;0
5;0;10;10;0
5;0;11;11;0
5;0;12;12;0
5;0;13;13;0
5;0;14;14;0
5;0;15;15;0
5;0;16;16;0
6;0;1;1;0
6;0;2;2;0
6;0;3;3;0
6;0;4;4;0
6;0;5;5;0
6;0;6;6;0
6;0;7;7;0
6;0;8;8;0
6;0;9;9;0
6;0;10;10;0
6;0;11;11;0
6;0;12;12;0
6;0;13;13;0
6;0;14;14;0
6;0;15;15;0
6;0;16;16;0
7;tourtyp_work;1;1;0
7;tourtyp_work;2;2;-8.489274177
7;tourtyp_work;3;3;-9.866069497
7;tourtyp_work;4;4;-10.91826649
7;tourtyp_work;5;5;-10.90287011
7;tourtyp_work;6;6;-10.04658478
7;tourtyp_work;7;7;-9.676102259
7;tourtyp_work;8;8;-9.826830105
7;tourtyp_work;9;9;-9.312631379
7;tourtyp_work;10;10;-8.639002587
7;tourtyp_work;11;11;-8.940440672
7;tourtyp_work;12;12;-9.003464284
7;tourtyp_work;13;13;-9.188524632
7;tourtyp_work;14;14;-9.962205907
7;tourtyp_work;15;15;-8.187975928
7;tourtyp_work;16;16;0.9160045663
8;0;1;1;0
8;0;2;2;0
8;0;3;3;0
8;0;4;4;0
8;0;5;5;0
8;0;6;6;0
8;0;7;7;0
8;0;8;8;0
8;0;9;9;0
8;0;10;10;0
8;0;11;11;0
8;0;12;12;0
8;0;13;13;0
8;0;14;14;0
8;0;15;15;0
8;0;16;16;0
9;0;1;1;0
9;0;2;2;0
9;0;3;3;0
9;0;4;4;0
9;0;5;5;0
9;0;6;6;0
9;0;7;7;0
9;0;8;8;0
9;0;9;9;0
9;0;10;10;0
9;0;11;11;0
9;0;12;12;0
9;0;13;13;0
9;0;14;14;0
9;0;15;15;0
9;0;16;16;0
10;0;1;1;0
10;0;2;2;0
10;0;3;3;0
10;0;4;4;0
10;0;5;5;0
10;0;6;6;0
10;0;7;7;0
10;0;8;8;0
10;0;9;9;0
10;0;10;10;0
10;0;11;11;0
10;0;12;12;0
10;0;13;13;0
10;0;14;14;0
10;0;15;15;0
10;0;16;16;0
11;tag_sa;1;1;0
11;tag_sa;2;2;-1.030955666
11;tag_sa;3;3;-1.271858649
11;tag_sa;4;4;-2.370646849
11;tag_sa;5;5;-2.571980122
11;tag_sa;6;6;-1.439549823
11;tag_sa;7;7;-0.853302742
11;tag_sa;8;8;-0.481917775
11;tag_sa;9;9;-0.532553113
11;tag_sa;10;10;-0.760492104
11;tag_sa;11;11;-0.676538765
11;tag_sa;12;12;-0.239821142
11;tag_sa;13;13;0.1005284484
11;tag_sa;14;14;-0.228525947
11;tag_sa;15;15;-0.562344267
11;tag_sa;16;16;-1.844242379
12;tag_so;1;1;0
12;tag_so;2;2;-1.456439217
12;tag_so;3;3;-1.067594872
12;tag_so;4;4;-2.253817897
12;tag_so;5;5;-3.187298441
12;tag_so;6;6;-1.568261677
12;tag_so;7;7;-0.681249099
12;tag_so;8;8;-0.0765033
12;tag_so;9;9;0.0991922539
12;tag_so;10;10;-0.062120999
12;tag_so;11;11;-0.049962652
12;tag_so;12;12;0.7698854721
12;tag_so;13;13;1.0684673003
12;tag_so;14;14;0.9746653147
12;tag_so;15;15;0.8260646121
12;tag_so;16;16;0.9744616003
13;0;1;1;0
13;0;2;2;0
13;0;3;3;0
13;0;4;4;0
13;0;5;5;0
13;0;6;6;0
13;0;7;7;0
13;0;8;8;0
13;0;9;9;0
13;0;10;10;0
13;0;11;11;0
13;0;12;12;0
13;0;13;13;0
13;0;14;14;0
13;0;15;15;0
13;0;16;16;0
14;dauer_akt_in_tour_2bis4std;1;1;0
