Slot;Anzahl;Anzahl_Sum;relativer_Anteil;relativer_Anteil_Sum
1320;9;9;0.1304347826;0.1304347826
1321;0;9;0;0.1304347826
1322;0;9;0;0.1304347826
1323;1;10;0.0144927536;0.1449275362
1324;0;10;0;0.1449275362
1325;1;11;0.0144927536;0.1594202899
1326;0;11;0;0.1594202899
1327;0;11;0;0.1594202899
1328;0;11;0;0.1594202899
1329;0;11;0;0.1594202899
1330;5;16;0.0724637681;0.231884058
1331;1;17;0.0144927536;0.2463768116
1332;0;17;0;0.2463768116
1333;0;17;0;0.2463768116
1334;1;18;0.0144927536;0.2608695652
1335;1;19;0.0144927536;0.2753623188
1336;0;19;0;0.2753623188
1337;0;19;0;0.2753623188
1338;0;19;0;0.2753623188
1339;0;19;0;0.2753623188
1340;3;22;0.0434782609;0.3188405797
1341;1;23;0.0144927536;0.3333333333
1342;0;23;0;0.3333333333
1343;0;23;0;0.3333333333
1344;0;23;0;0.3333333333
1345;2;25;0.0289855072;0.3623188406
1346;0;25;0;0.3623188406
1347;0;25;0;0.3623188406
1348;0;25;0;0.3623188406
1349;0;25;0;0.3623188406
1350;10;35;0.1449275362;0.5072463768
1351;0;35;0;0.5072463768
1352;0;35;0;0.5072463768
1353;0;35;0;0.5072463768
1354;0;35;0;0.5072463768
1355;1;36;0.0144927536;0.5217391304
1356;0;36;0;0.5217391304
1357;0;36;0;0.5217391304
1358;2;38;0.0289855072;0.5507246377
1359;0;38;0;0.5507246377
1360;0;38;0;0.5507246377
1361;0;38;0;0.5507246377
1362;1;39;0.0144927536;0.5652173913
1363;1;40;0.0144927536;0.5797101449
1364;0;40;0;0.5797101449
1365;4;44;0.0579710145;0.6376811594
1366;0;44;0;0.6376811594
1367;1;45;0.0144927536;0.652173913
1368;0;45;0;0.652173913
1369;0;45;0;0.652173913
1370;0;45;0;0.652173913
1371;0;45;0;0.652173913
1372;0;45;0;0.652173913
1373;0;45;0;0.652173913
1374;0;45;0;0.652173913
1375;0;45;0;0.652173913
1376;0;45;0;0.652173913
1377;0;45;0;0.652173913
1378;1;46;0.0144927536;0.6666666667
1379;0;46;0;0.6666666667
1380;8;54;0.115942029;0.7826086957
1381;0;54;0;0.7826086957
1382;0;54;0;0.7826086957
1383;0;54;0;0.7826086957
1384;0;54;0;0.7826086957
1385;0;54;0;0.7826086957
1386;0;54;0;0.7826086957
1387;0;54;0;0.7826086957
1388;0;54;0;0.7826086957
1389;0;54;0;0.7826086957
1390;1;55;0.0144927536;0.7971014493
1391;0;55;0;0.7971014493
1392;1;56;0.0144927536;0.8115942029
1393;0;56;0;0.8115942029
1394;0;56;0;0.8115942029
1395;4;60;0.0579710145;0.8695652174
1396;0;60;0;0.8695652174
1397;0;60;0;0.8695652174
1398;0;60;0;0.8695652174
1399;0;60;0;0.8695652174
1400;0;60;0;0.8695652174
1401;0;60;0;0.8695652174
1402;0;60;0;0.8695652174
1403;0;60;0;0.8695652174
1404;0;60;0;0.8695652174
1405;0;60;0;0.8695652174
1406;0;60;0;0.8695652174
1407;0;60;0;0.8695652174
1408;0;60;0;0.8695652174
1409;0;60;0;0.8695652174
1410;4;64;0.0579710145;0.9275362319
1411;1;65;0.0144927536;0.9420289855
1412;0;65;0;0.9420289855
1413;0;65;0;0.9420289855
1414;1;66;0.0144927536;0.9565217391
1415;0;66;0;0.9565217391
1416;0;66;0;0.9565217391
1417;0;66;0;0.9565217391
1418;0;66;0;0.9565217391
1419;0;66;0;0.9565217391
1420;1;67;0.0144927536;0.9710144928
1421;0;67;0;0.9710144928
1422;0;67;0;0.9710144928
1423;0;67;0;0.9710144928
1424;0;67;0;0.9710144928
1425;1;68;0.0144927536;0.9855072464
1426;0;68;0;0.9855072464
1427;0;68;0;0.9855072464
1428;0;68;0;0.9855072464
1429;0;68;0;0.9855072464
1430;0;68;0;0.9855072464
1431;1;69;0.0144927536;1
1432;0;69;0;1
1433;0;69;0;1
1434;0;69;0;1
1435;0;69;0;1
1436;0;69;0;1
1437;0;69;0;1
1438;0;69;0;1
1439;0;69;0;1
