Slot;Anzahl;Anzahl_Sum;relativer_Anteil;relativer_Anteil_Sum
1020;1412;1412;0.2294069862;0.2294069862
1021;11;1423;0.0017871649;0.2311941511
1022;19;1442;0.0030869212;0.2342810723
1023;22;1464;0.0035743298;0.2378554021
1024;22;1486;0.0035743298;0.2414297319
1025;213;1699;0.0346060114;0.2760357433
1026;17;1716;0.0027619821;0.2787977254
1027;20;1736;0.0032493907;0.2820471162
1028;20;1756;0.0032493907;0.2852965069
1029;14;1770;0.0022745735;0.2875710804
1030;335;2105;0.0544272949;0.3419983753
1031;18;2123;0.0029244517;0.344922827
1032;31;2154;0.0050365556;0.3499593826
1033;20;2174;0.0032493907;0.3532087734
1034;29;2203;0.0047116166;0.3579203899
1035;518;2721;0.0841592201;0.4420796101
1036;15;2736;0.0024370431;0.4445166531
1037;15;2751;0.0024370431;0.4469536962
1038;21;2772;0.0034118603;0.4503655565
1039;9;2781;0.0014622258;0.4518277823
1040;268;3049;0.0435418359;0.4953696182
1041;13;3062;0.002112104;0.4974817222
1042;15;3077;0.0024370431;0.4999187652
1043;21;3098;0.0034118603;0.5033306255
1044;13;3111;0.002112104;0.5054427295
1045;169;3280;0.0274573517;0.5329000812
1046;16;3296;0.0025995126;0.5354995938
1047;11;3307;0.0017871649;0.5372867587
1048;29;3336;0.0047116166;0.5419983753
1049;9;3345;0.0014622258;0.5434606011
1050;1016;4361;0.1650690496;0.7085296507
1051;5;4366;0.0008123477;0.7093419984
1052;26;4392;0.004224208;0.7135662063
1053;14;4406;0.0022745735;0.7158407799
1054;12;4418;0.0019496344;0.7177904143
1055;145;4563;0.0235580829;0.7413484972
1056;11;4574;0.0017871649;0.7431356621
1057;17;4591;0.0027619821;0.7458976442
1058;17;4608;0.0027619821;0.7486596263
1059;2;4610;0.0003249391;0.7489845654
1060;273;4883;0.0443541836;0.793338749
1061;12;4895;0.0019496344;0.7952883834
1062;17;4912;0.0027619821;0.7980503656
1063;13;4925;0.002112104;0.8001624695
1064;16;4941;0.0025995126;0.8027619821
1065;534;5475;0.0867587327;0.8895207149
1066;6;5481;0.0009748172;0.8904955321
1067;16;5497;0.0025995126;0.8930950447
1068;28;5525;0.004549147;0.8976441917
1069;20;5545;0.0032493907;0.9008935825
1070;317;5862;0.0515028432;0.9523964257
1071;10;5872;0.0016246954;0.954021121
1072;25;5897;0.0040617384;0.9580828595
1073;14;5911;0.0022745735;0.960357433
1074;18;5929;0.0029244517;0.9632818846
1075;183;6112;0.0297319253;0.9930138099
1076;8;6120;0.0012997563;0.9943135662
1077;14;6134;0.0022745735;0.9965881397
1078;17;6151;0.0027619821;0.9993501219
1079;4;6155;0.0006498781;1
