Slot;Anzahl;Anzahl_Sum;relativer_Anteil;relativer_Anteil_Sum
420;5;5;0.1470588235;0.1470588235
421;0;5;0;0.1470588235
422;0;5;0;0.1470588235
423;1;6;0.0294117647;0.1764705882
424;0;6;0;0.1764705882
425;0;6;0;0.1764705882
426;0;6;0;0.1764705882
427;0;6;0;0.1764705882
428;0;6;0;0.1764705882
429;0;6;0;0.1764705882
430;1;7;0.0294117647;0.2058823529
431;0;7;0;0.2058823529
432;0;7;0;0.2058823529
433;0;7;0;0.2058823529
434;0;7;0;0.2058823529
435;1;8;0.0294117647;0.2352941176
436;0;8;0;0.2352941176
437;0;8;0;0.2352941176
438;0;8;0;0.2352941176
439;0;8;0;0.2352941176
440;0;8;0;0.2352941176
441;0;8;0;0.2352941176
442;0;8;0;0.2352941176
443;1;9;0.0294117647;0.2647058824
444;0;9;0;0.2647058824
445;4;13;0.1176470588;0.3823529412
446;0;13;0;0.3823529412
447;0;13;0;0.3823529412
448;0;13;0;0.3823529412
449;0;13;0;0.3823529412
450;0;13;0;0.3823529412
451;0;13;0;0.3823529412
452;0;13;0;0.3823529412
453;0;13;0;0.3823529412
454;1;14;0.0294117647;0.4117647059
455;0;14;0;0.4117647059
456;0;14;0;0.4117647059
457;1;15;0.0294117647;0.4411764706
458;1;16;0.0294117647;0.4705882353
459;0;16;0;0.4705882353
460;1;17;0.0294117647;0.5
461;0;17;0;0.5
462;0;17;0;0.5
463;0;17;0;0.5
464;0;17;0;0.5
465;0;17;0;0.5
466;1;18;0.0294117647;0.5294117647
467;0;18;0;0.5294117647
468;0;18;0;0.5294117647
469;0;18;0;0.5294117647
470;0;18;0;0.5294117647
471;0;18;0;0.5294117647
472;0;18;0;0.5294117647
473;0;18;0;0.5294117647
474;0;18;0;0.5294117647
475;0;18;0;0.5294117647
476;0;18;0;0.5294117647
477;0;18;0;0.5294117647
478;0;18;0;0.5294117647
479;0;18;0;0.5294117647
480;1;19;0.0294117647;0.5588235294
481;1;20;0.0294117647;0.5882352941
482;0;20;0;0.5882352941
483;0;20;0;0.5882352941
484;0;20;0;0.5882352941
485;0;20;0;0.5882352941
486;0;20;0;0.5882352941
487;0;20;0;0.5882352941
488;0;20;0;0.5882352941
489;1;21;0.0294117647;0.6176470588
490;1;22;0.0294117647;0.6470588235
491;0;22;0;0.6470588235
492;0;22;0;0.6470588235
493;0;22;0;0.6470588235
494;0;22;0;0.6470588235
495;1;23;0.0294117647;0.6764705882
496;0;23;0;0.6764705882
497;0;23;0;0.6764705882
498;0;23;0;0.6764705882
499;0;23;0;0.6764705882
500;0;23;0;0.6764705882
501;0;23;0;0.6764705882
502;0;23;0;0.6764705882
503;0;23;0;0.6764705882
504;0;23;0;0.6764705882
505;0;23;0;0.6764705882
506;0;23;0;0.6764705882
507;0;23;0;0.6764705882
508;0;23;0;0.6764705882
509;0;23;0;0.6764705882
510;0;23;0;0.6764705882
511;0;23;0;0.6764705882
512;0;23;0;0.6764705882
513;0;23;0;0.6764705882
514;0;23;0;0.6764705882
515;0;23;0;0.6764705882
516;0;23;0;0.6764705882
517;0;23;0;0.6764705882
518;0;23;0;0.6764705882
519;0;23;0;0.6764705882
520;0;23;0;0.6764705882
521;0;23;0;0.6764705882
522;0;23;0;0.6764705882
523;1;24;0.0294117647;0.7058823529
524;0;24;0;0.7058823529
525;0;24;0;0.7058823529
526;0;24;0;0.7058823529
527;0;24;0;0.7058823529
528;0;24;0;0.7058823529
529;0;24;0;0.7058823529
530;0;24;0;0.7058823529
531;0;24;0;0.7058823529
532;0;24;0;0.7058823529
533;0;24;0;0.7058823529
534;0;24;0;0.7058823529
535;0;24;0;0.7058823529
536;0;24;0;0.7058823529
537;0;24;0;0.7058823529
538;1;25;0.0294117647;0.7352941176
539;0;25;0;0.7352941176
540;0;25;0;0.7352941176
541;0;25;0;0.7352941176
542;1;26;0.0294117647;0.7647058824
543;1;27;0.0294117647;0.7941176471
544;0;27;0;0.7941176471
545;2;29;0.0588235294;0.8529411765
