Nr_Parameter;Bezeichnung_Parameter;Nr_Alternative;Bezeichnung_Alternative;Wert_Parameter
0;Grundnutzen;1;1;-2.858484408
0;Grundnutzen;2;2;-3.955040904
0;Grundnutzen;3;3;-5.204108747
0;Grundnutzen;4;4;-5.569477732
0;Grundnutzen;5;5;-5.768371961
0;Grundnutzen;6;6;-6.319137457
0;Grundnutzen;7;7;-19.45935352
0;Grundnutzen;8;0;0
1;beruf_vollzeit;1;1;1.3923874859
1;beruf_vollzeit;2;2;2.2434739557
1;beruf_vollzeit;3;3;3.2365788496
1;beruf_vollzeit;4;4;4.5024135466
1;beruf_vollzeit;5;5;5.4192420106
1;beruf_vollzeit;6;6;4.9968058852
1;beruf_vollzeit;7;7;4.8243133874
1;beruf_vollzeit;8;0;0
2;beruf_teilzeit;1;1;1.9951088027
2;beruf_teilzeit;2;2;3.2298178655
2;beruf_teilzeit;3;3;3.9842934959
2;beruf_teilzeit;4;4;4.5376810181
2;beruf_teilzeit;5;5;4.5106695888
2;beruf_teilzeit;6;6;4.2828243764
2;beruf_teilzeit;7;7;4.3736388904
2;beruf_teilzeit;8;0;0
3;0;1;1;0
3;0;2;2;0
3;0;3;3;0
3;0;4;4;0
3;0;5;5;0
3;0;6;6;0
3;0;7;7;0
3;0;8;0;0
4;beruf_schueler;1;1;0.4495839694
4;beruf_schueler;2;2;0.4710356195
4;beruf_schueler;3;3;0.7841887839
4;beruf_schueler;4;4;1.2900819499
4;beruf_schueler;5;5;1.1691015346
4;beruf_schueler;6;6;0.8077645008
4;beruf_schueler;7;7;-10.17601827
4;beruf_schueler;8;0;0
5;beruf_azubi;1;1;0.420670013
5;beruf_azubi;2;2;0.5813493914
5;beruf_azubi;3;3;1.4838752692
5;beruf_azubi;4;4;2.5183215057
5;beruf_azubi;5;5;2.164029068
5;beruf_azubi;6;6;1.3241002262
5;beruf_azubi;7;7;2.15625225
5;beruf_azubi;8;0;0
6;0;1;1;0
6;0;2;2;0
6;0;3;3;0
6;0;4;4;0
6;0;5;5;0
6;0;6;6;0
6;0;7;7;0
6;0;8;0;0
7;alter_10bis17;1;1;-0.666763829
7;alter_10bis17;2;2;-1.316485608
7;alter_10bis17;3;3;-1.323611886
7;alter_10bis17;4;4;-1.037765952
7;alter_10bis17;5;5;-0.794008934
7;alter_10bis17;6;6;-1.9560721
7;alter_10bis17;7;7;1.162559705
7;alter_10bis17;8;0;0
8;alter_18bis25;1;1;0.5525587522
8;alter_18bis25;2;2;1.0806049907
8;alter_18bis25;3;3;1.3073742408
8;alter_18bis25;4;4;1.2677869527
8;alter_18bis25;5;5;1.749962529
8;alter_18bis25;6;6;0.9080846093
8;alter_18bis25;7;7;12.134789708
8;alter_18bis25;8;0;0
9;alter_26bis35;1;1;0.8903150113
9;alter_26bis35;2;2;1.3150090087
9;alter_26bis35;3;3;2.0831235422
9;alter_26bis35;4;4;1.9769859755
9;alter_26bis35;5;5;2.1937253642
9;alter_26bis35;6;6;1.4655852115
9;alter_26bis35;7;7;12.553842059
9;alter_26bis35;8;0;0
10;alter_36bis50;1;1;0.4840112097
10;alter_36bis50;2;2;1.0985934434
10;alter_36bis50;3;3;1.9625172219
10;alter_36bis50;4;4;1.9111425121
10;alter_36bis50;5;5;2.2434679207
10;alter_36bis50;6;6;1.3609597588
10;alter_36bis50;7;7;12.694925765
10;alter_36bis50;8;0;0
11;alter_51bis60;1;1;0.2741167265
11;alter_51bis60;2;2;0.461264738
11;alter_51bis60;3;3;1.3826433165
11;alter_51bis60;4;4;1.3703704898
11;alter_51bis60;5;5;1.6489561808
11;alter_51bis60;6;6;0.7853617359
11;alter_51bis60;7;7;12.264991819
11;alter_51bis60;8;0;0
12;alter_61bis70;1;1;0.0506542241
12;alter_61bis70;2;2;0.2805657898
12;alter_61bis70;3;3;0.7615609966
12;alter_61bis70;4;4;0.5493194824
12;alter_61bis70;5;5;0.5786657023
12;alter_61bis70;6;6;-0.017444032
12;alter_61bis70;7;7;11.578291186
12;alter_61bis70;8;0;0
13;0;1;1;0
13;0;2;2;0
13;0;3;3;0
13;0;4;4;0
13;0;5;5;0
13;0;6;6;0
13;0;7;7;0
13;0;8;0;0
14;Raumtyp_mobitopp_conurbation;1;1;0.0962941164
14;Raumtyp_mobitopp_conurbation;2;2;0.0950720238
14;Raumtyp_mobitopp_conurbation;3;3;0.2232929485
14;Raumtyp_mobitopp_conurbation;4;4;0.2128110335
14;Raumtyp_mobitopp_conurbation;5;5;0.1143712712
14;Raumtyp_mobitopp_conurbation;6;6;-0.221398664
14;Raumtyp_mobitopp_conurbation;7;7;-0.317805503
14;Raumtyp_mobitopp_conurbation;8;0;0
15;0;1;1;0
15;0;2;2;0
15;0;3;3;0
15;0;4;4;0
15;0;5;5;0
15;0;6;6;0
15;0;7;7;0
15;0;8;0;0
16;Raumtyp_mobitopp_rural;1;1;0.2611720732
16;Raumtyp_mobitopp_rural;2;2;-0.310297426
16;Raumtyp_mobitopp_rural;3;3;-0.337046358
16;Raumtyp_mobitopp_rural;4;4;0.1158709799
16;Raumtyp_mobitopp_rural;5;5;0.2653419843
16;Raumtyp_mobitopp_rural;6;6;0.5503024585
16;Raumtyp_mobitopp_rural;7;7;0.561272929
16;Raumtyp_mobitopp_rural;8;0;0
17;0;1;1;0
17;0;2;2;0
17;0;3;3;0
17;0;4;4;0
17;0;5;5;0
17;0;6;6;0
17;0;7;7;0
17;0;8;0;0
18;0;1;1;0
18;0;2;2;0
18;0;3;3;0
18;0;4;4;0
18;0;5;5;0
18;0;6;6;0
18;0;7;7;0
18;0;8;0;0
19;haushalthatkinderunter10;1;1;-0.227366625
19;haushalthatkinderunter10;2;2;-0.228668346
19;haushalthatkinderunter10;3;3;-0.560644614
19;haushalthatkinderunter10;4;4;-0.55940858
19;haushalthatkinderunter10;5;5;-0.419185108
19;haushalthatkinderunter10;6;6;-0.78471162
19;haushalthatkinderunter10;7;7;-0.739328898
19;haushalthatkinderunter10;8;0;0
20;male;1;1;0.2583526602
20;male;2;2;0.3237934913
20;male;3;3;0.3756199699
20;male;4;4;0.2289981382
20;male;5;5;0.375519555
20;male;6;6;0.6314283452
20;male;7;7;0.0489294134
20;male;8;0;0
