Nr_Parameter;Bezeichnung_Parameter;Nr_Alternative;Bezeichnung_Alternative;Wert_Parameter
0;Grundnutzen;1;1;-5.975905572
0;Grundnutzen;2;2;-2.304461213
0;Grundnutzen;3;3;0
0;Grundnutzen;4;4;0.5395094777
0;Grundnutzen;5;5;1.3456399974
1;sakt_prowoche_1bis3;1;1;3.8206154272
1;sakt_prowoche_1bis3;2;2;1.3822338781
1;sakt_prowoche_1bis3;3;3;0
1;sakt_prowoche_1bis3;4;4;-0.778516458
1;sakt_prowoche_1bis3;5;5;-1.236850742
2;sakt_prowoche_4bis6;1;1;2.7795977409
2;sakt_prowoche_4bis6;2;2;0.9361480555
2;sakt_prowoche_4bis6;3;3;0
2;sakt_prowoche_4bis6;4;4;-0.554325084
2;sakt_prowoche_4bis6;5;5;-0.800244144
3;sakt_prowoche_7bis10;1;1;1.9731053368
3;sakt_prowoche_7bis10;2;2;0.4251257926
3;sakt_prowoche_7bis10;3;3;0
3;sakt_prowoche_7bis10;4;4;-0.336943324
3;sakt_prowoche_7bis10;5;5;-0.410000805
4;0;1;1;0
4;0;2;2;0
4;0;3;3;0
4;0;4;4;0
4;0;5;5;0
5;0;1;1;0
5;0;2;2;0
5;0;3;3;0
5;0;4;4;0
5;0;5;5;0
6;zeitbudget_work_ueber_kat2;1;1;0.4101587964
6;zeitbudget_work_ueber_kat2;2;2;0.2605620239
6;zeitbudget_work_ueber_kat2;3;3;0
6;zeitbudget_work_ueber_kat2;4;4;-0.142124466
6;zeitbudget_work_ueber_kat2;5;5;-0.320692878
7;0;1;1;0
7;0;2;2;0
7;0;3;3;0
7;0;4;4;0
7;0;5;5;0
8;0;1;1;0
8;0;2;2;0
8;0;3;3;0
8;0;4;4;0
8;0;5;5;0
9;0;1;1;0
9;0;2;2;0
9;0;3;3;0
9;0;4;4;0
9;0;5;5;0
10;beruf_vollzeit;1;1;0.2107710102
10;beruf_vollzeit;2;2;0.1473762916
10;beruf_vollzeit;3;3;0
10;beruf_vollzeit;4;4;-0.291738993
10;beruf_vollzeit;5;5;-0.448344513
11;beruf_teilzeit;1;1;-0.102811209
11;beruf_teilzeit;2;2;0.0761110271
11;beruf_teilzeit;3;3;0
11;beruf_teilzeit;4;4;-0.172013556
11;beruf_teilzeit;5;5;-0.381313874
12;0;1;1;0
12;0;2;2;0
12;0;3;3;0
12;0;4;4;0
12;0;5;5;0
13;beruf_schueler;1;1;0.6422325925
13;beruf_schueler;2;2;0.2801052533
13;beruf_schueler;3;3;0
13;beruf_schueler;4;4;-0.333140682
13;beruf_schueler;5;5;-0.785556443
14;beruf_azubi;1;1;0.4250548293
14;beruf_azubi;2;2;0.1389346261
14;beruf_azubi;3;3;0
14;beruf_azubi;4;4;-0.375495884
14;beruf_azubi;5;5;-0.891266897
15;tagemit_sakt_1;1;1;3.0657377357
15;tagemit_sakt_1;2;2;1.2266443746
15;tagemit_sakt_1;3;3;0
15;tagemit_sakt_1;4;4;-0.916042161
15;tagemit_sakt_1;5;5;-1.282179087
16;tagemit_sakt_2;1;1;1.5206831049
16;tagemit_sakt_2;2;2;0.8018308438
16;tagemit_sakt_2;3;3;0
16;tagemit_sakt_2;4;4;-0.492594265
16;tagemit_sakt_2;5;5;-1.18565833
17;tagemit_sakt_3;1;1;0.5563486202
17;tagemit_sakt_3;2;2;0.2980344072
17;tagemit_sakt_3;3;3;0
17;tagemit_sakt_3;4;4;-0.475835146
17;tagemit_sakt_3;5;5;-0.983837627
18;tagemit_sakt_4;1;1;0.3939810688
18;tagemit_sakt_4;2;2;0.2698760594
18;tagemit_sakt_4;3;3;0
18;tagemit_sakt_4;4;4;-0.152049938
18;tagemit_sakt_4;5;5;-0.57512975
19;0;1;1;0
19;0;2;2;0
19;0;4;4;0
19;0;5;5;0
20;0;1;1;0
20;0;2;2;0
20;0;4;4;0
20;0;5;5;0
