Slot;Anzahl;Anzahl_Sum;relativer_Anteil;relativer_Anteil_Sum
1200;9;9;0.0059760956;0.0059760956
1201;8;17;0.005312085;0.0112881806
1202;1;18;0.0006640106;0.0119521912
1203;1;19;0.0006640106;0.0126162019
1204;2;21;0.0013280212;0.0139442231
1205;7;28;0.0046480744;0.0185922975
1206;6;34;0.0039840637;0.0225763612
1207;4;38;0.0026560425;0.0252324037
1208;1;39;0.0006640106;0.0258964143
1209;2;41;0.0013280212;0.0272244356
1210;9;50;0.0059760956;0.0332005312
1211;6;56;0.0039840637;0.037184595
1212;2;58;0.0013280212;0.0385126162
1213;2;60;0.0013280212;0.0398406375
1214;6;66;0.0039840637;0.0438247012
1215;12;78;0.0079681275;0.0517928287
1216;2;80;0.0013280212;0.0531208499
1217;3;83;0.0019920319;0.0551128818
1218;2;85;0.0013280212;0.0564409031
1219;1;86;0.0006640106;0.0571049137
1220;7;93;0.0046480744;0.061752988
1221;3;96;0.0019920319;0.0637450199
1222;3;99;0.0019920319;0.0657370518
1223;1;100;0.0006640106;0.0664010624
1224;2;102;0.0013280212;0.0677290837
1225;7;109;0.0046480744;0.072377158
1226;2;111;0.0013280212;0.0737051793
1227;1;112;0.0006640106;0.0743691899
1228;0;112;0;0.0743691899
1229;1;113;0.0006640106;0.0750332005
1230;9;122;0.0059760956;0.0810092961
1231;3;125;0.0019920319;0.083001328
1232;6;131;0.0039840637;0.0869853918
1233;5;136;0.0033200531;0.0903054449
1234;2;138;0.0013280212;0.0916334661
1235;7;145;0.0046480744;0.0962815405
1236;4;149;0.0026560425;0.098937583
1237;2;151;0.0013280212;0.1002656042
1238;0;151;0;0.1002656042
1239;1;152;0.0006640106;0.1009296149
1240;9;161;0.0059760956;0.1069057105
1241;1;162;0.0006640106;0.1075697211
1242;2;164;0.0013280212;0.1088977424
1243;2;166;0.0013280212;0.1102257636
1244;3;169;0.0019920319;0.1122177955
1245;11;180;0.0073041169;0.1195219124
1246;1;181;0.0006640106;0.120185923
1247;2;183;0.0013280212;0.1215139442
1248;1;184;0.0006640106;0.1221779548
1249;2;186;0.0013280212;0.1235059761
1250;5;191;0.0033200531;0.1268260292
1251;3;194;0.0019920319;0.1288180611
1252;4;198;0.0026560425;0.1314741036
1253;1;199;0.0006640106;0.1321381142
1254;2;201;0.0013280212;0.1334661355
1255;9;210;0.0059760956;0.1394422311
1256;0;210;0;0.1394422311
1257;3;213;0.0019920319;0.1414342629
1258;5;218;0.0033200531;0.1447543161
1259;1;219;0.0006640106;0.1454183267
1260;11;230;0.0073041169;0.1527224436
1261;1;231;0.0006640106;0.1533864542
1262;2;233;0.0013280212;0.1547144754
1263;3;236;0.0019920319;0.1567065073
1264;0;236;0;0.1567065073
1265;8;244;0.005312085;0.1620185923
1266;6;250;0.0039840637;0.166002656
1267;4;254;0.0026560425;0.1686586985
1268;3;257;0.0019920319;0.1706507304
1269;3;260;0.0019920319;0.1726427623
1270;10;270;0.0066401062;0.1792828685
1271;5;275;0.0033200531;0.1826029216
1272;4;279;0.0026560425;0.1852589641
1273;2;281;0.0013280212;0.1865869854
1274;7;288;0.0046480744;0.1912350598
1275;5;293;0.0033200531;0.1945551129
1276;3;296;0.0019920319;0.1965471448
1277;3;299;0.0019920319;0.1985391766
1278;1;300;0.0006640106;0.1992031873
1279;2;302;0.0013280212;0.2005312085
1280;9;311;0.0059760956;0.2065073041
1281;6;317;0.0039840637;0.2104913679
1282;4;321;0.0026560425;0.2131474104
1283;1;322;0.0006640106;0.213811421
1284;3;325;0.0019920319;0.2158034529
1285;10;335;0.0066401062;0.2224435591
1286;0;335;0;0.2224435591
1287;4;339;0.0026560425;0.2250996016
1288;4;343;0.0026560425;0.2277556441
1289;3;346;0.0019920319;0.229747676
1290;5;351;0.0033200531;0.2330677291
1291;1;352;0.0006640106;0.2337317397
1292;1;353;0.0006640106;0.2343957503
1293;0;353;0;0.2343957503
1294;0;353;0;0.2343957503
1295;10;363;0.0066401062;0.2410358566
1296;4;367;0.0026560425;0.2436918991
1297;1;368;0.0006640106;0.2443559097
1298;2;370;0.0013280212;0.2456839309
1299;1;371;0.0006640106;0.2463479416
1300;11;382;0.0073041169;0.2536520584
1301;6;388;0.0039840637;0.2576361222
1302;6;394;0.0039840637;0.2616201859
1303;2;396;0.0013280212;0.2629482072
1304;2;398;0.0013280212;0.2642762284
1305;11;409;0.0073041169;0.2715803453
1306;5;414;0.0033200531;0.2749003984
1307;3;417;0.0019920319;0.2768924303
1308;3;420;0.0019920319;0.2788844622
1309;1;421;0.0006640106;0.2795484728
1310;11;432;0.0073041169;0.2868525896
1311;2;434;0.0013280212;0.2881806109
1312;3;437;0.0019920319;0.2901726428
1313;0;437;0;0.2901726428
1314;4;441;0.0026560425;0.2928286853
1315;9;450;0.0059760956;0.2988047809
1316;0;450;0;0.2988047809
1317;2;452;0.0013280212;0.3001328021
1318;1;453;0.0006640106;0.3007968127
1319;0;453;0;0.3007968127
1320;9;462;0.0059760956;0.3067729084
1321;4;466;0.0026560425;0.3094289509
1322;6;472;0.0039840637;0.3134130146
1323;2;474;0.0013280212;0.3147410359
1324;3;477;0.0019920319;0.3167330677
1325;6;483;0.0039840637;0.3207171315
1326;3;486;0.0019920319;0.3227091633
1327;4;490;0.0026560425;0.3253652058
1328;1;491;0.0006640106;0.3260292165
1329;1;492;0.0006640106;0.3266932271
1330;7;499;0.0046480744;0.3313413015
1331;5;504;0.0033200531;0.3346613546
1332;2;506;0.0013280212;0.3359893758
