Slot;Anzahl;Anzahl_Sum;relativer_Anteil;relativer_Anteil_Sum
120;47;47;0.0463968411;0.0463968411
121;8;55;0.0078973346;0.0542941757
122;7;62;0.0069101678;0.0612043435
123;8;70;0.0078973346;0.0691016782
124;7;77;0.0069101678;0.076011846
125;24;101;0.0236920039;0.09970385
126;9;110;0.0088845015;0.1085883514
127;6;116;0.005923001;0.1145113524
128;10;126;0.0098716683;0.1243830207
129;6;132;0.005923001;0.1303060217
130;27;159;0.0266535044;0.1569595262
131;12;171;0.011846002;0.1688055281
132;9;180;0.0088845015;0.1776900296
133;5;185;0.0049358342;0.1826258638
134;6;191;0.005923001;0.1885488648
135;26;217;0.0256663376;0.2142152024
136;8;225;0.0078973346;0.222112537
137;7;232;0.0069101678;0.2290227048
138;6;238;0.005923001;0.2349457058
139;11;249;0.0108588351;0.245804541
140;33;282;0.0325765054;0.2783810464
141;9;291;0.0088845015;0.2872655479
142;7;298;0.0069101678;0.2941757157
143;10;308;0.0098716683;0.304047384
144;4;312;0.0039486673;0.3079960513
145;25;337;0.0246791708;0.3326752221
146;7;344;0.0069101678;0.3395853899
147;9;353;0.0088845015;0.3484698914
148;8;361;0.0078973346;0.3563672261
149;3;364;0.0029615005;0.3593287266
150;37;401;0.0365251728;0.3958538993
151;13;414;0.0128331688;0.4086870681
152;7;421;0.0069101678;0.4155972359
153;9;430;0.0088845015;0.4244817374
154;4;434;0.0039486673;0.4284304047
155;13;447;0.0128331688;0.4412635735
156;6;453;0.005923001;0.4471865745
157;8;461;0.0078973346;0.4550839092
158;4;465;0.0039486673;0.4590325765
159;8;473;0.0078973346;0.4669299112
160;16;489;0.0157946693;0.4827245805
161;12;501;0.011846002;0.4945705824
162;5;506;0.0049358342;0.4995064166
163;3;509;0.0029615005;0.5024679171
164;5;514;0.0049358342;0.5074037512
165;18;532;0.017769003;0.5251727542
166;5;537;0.0049358342;0.5301085884
167;6;543;0.005923001;0.5360315893
168;4;547;0.0039486673;0.5399802567
169;7;554;0.0069101678;0.5468904245
170;16;570;0.0157946693;0.5626850938
171;5;575;0.0049358342;0.5676209279
172;9;584;0.0088845015;0.5765054294
173;7;591;0.0069101678;0.5834155972
174;6;597;0.005923001;0.5893385982
175;13;610;0.0128331688;0.602171767
176;8;618;0.0078973346;0.6100691017
177;4;622;0.0039486673;0.614017769
178;7;629;0.0069101678;0.6209279368
179;5;634;0.0049358342;0.625863771
180;24;658;0.0236920039;0.6495557749
181;4;662;0.0039486673;0.6535044423
182;8;670;0.0078973346;0.6614017769
183;8;678;0.0078973346;0.6692991115
184;8;686;0.0078973346;0.6771964462
185;10;696;0.0098716683;0.6870681145
186;6;702;0.005923001;0.6929911155
187;2;704;0.0019743337;0.6949654492
188;3;707;0.0029615005;0.6979269497
189;2;709;0.0019743337;0.6999012833
190;20;729;0.0197433366;0.7196446199
191;7;736;0.0069101678;0.7265547878
192;7;743;0.0069101678;0.7334649556
193;2;745;0.0019743337;0.7354392892
194;4;749;0.0039486673;0.7393879566
195;20;769;0.0197433366;0.7591312932
196;3;772;0.0029615005;0.7620927937
197;2;774;0.0019743337;0.7640671273
198;3;777;0.0029615005;0.7670286278
199;2;779;0.0019743337;0.7690029615
200;20;799;0.0197433366;0.7887462981
201;9;808;0.0088845015;0.7976307996
202;5;813;0.0049358342;0.8025666338
203;8;821;0.0078973346;0.8104639684
204;4;825;0.0039486673;0.8144126357
205;12;837;0.011846002;0.8262586377
206;6;843;0.005923001;0.8321816387
207;3;846;0.0029615005;0.8351431392
208;1;847;0.0009871668;0.836130306
209;1;848;0.0009871668;0.8371174729
210;15;863;0.0148075025;0.8519249753
211;3;866;0.0029615005;0.8548864758
212;0;866;0;0.8548864758
213;8;874;0.0078973346;0.8627838105
214;2;876;0.0019743337;0.8647581441
215;12;888;0.011846002;0.8766041461
216;5;893;0.0049358342;0.8815399803
217;1;894;0.0009871668;0.8825271471
218;4;898;0.0039486673;0.8864758144
219;0;898;0;0.8864758144
220;13;911;0.0128331688;0.8993089832
221;6;917;0.005923001;0.9052319842
222;3;920;0.0029615005;0.9081934847
223;8;928;0.0078973346;0.9160908193
224;3;931;0.0029615005;0.9190523198
225;16;947;0.0157946693;0.9348469891
226;4;951;0.0039486673;0.9387956565
227;3;954;0.0029615005;0.941757157
228;5;959;0.0049358342;0.9466929911
229;3;962;0.0029615005;0.9496544916
230;16;978;0.0157946693;0.9654491609
231;7;985;0.0069101678;0.9723593287
232;6;991;0.005923001;0.9782823297
233;4;995;0.0039486673;0.982230997
234;2;997;0.0019743337;0.9842053307
235;9;1006;0.0088845015;0.9930898322
236;2;1008;0.0019743337;0.9950641658
237;4;1012;0.0039486673;0.9990128332
238;1;1013;0.0009871668;1
239;0;1013;0;1
