Slot;Anzahl;Anzahl_Sum;relativer_Anteil;relativer_Anteil_Sum
1;1258;1258;0.2591143151;0.2591143151
2;142;1400;0.0292481977;0.2883625129
3;130;1530;0.0267765191;0.3151390319
4;103;1633;0.021215242;0.3363542739
5;978;2611;0.2014418126;0.5377960865
6;82;2693;0.0168898043;0.5546858908
7;148;2841;0.0304840371;0.5851699279
8;179;3020;0.036869207;0.6220391349
9;86;3106;0.0177136972;0.6397528321
10;1239;4345;0.2552008239;0.894953656
11;95;4440;0.0195674562;0.9145211123
12;164;4604;0.0337796087;0.9483007209
13;172;4776;0.0354273944;0.9837281153
14;79;4855;0.0162718847;1
