Slot;Anzahl;Anzahl_Sum;relativer_Anteil;relativer_Anteil_Sum
540;2;2;0.0625;0.0625
541;0;2;0;0.0625
542;1;3;0.03125;0.09375
543;0;3;0;0.09375
544;1;4;0.03125;0.125
545;1;5;0.03125;0.15625
546;0;5;0;0.15625
547;0;5;0;0.15625
548;1;6;0.03125;0.1875
549;0;6;0;0.1875
550;0;6;0;0.1875
551;0;6;0;0.1875
552;0;6;0;0.1875
553;0;6;0;0.1875
554;0;6;0;0.1875
555;5;11;0.15625;0.34375
556;0;11;0;0.34375
557;1;12;0.03125;0.375
558;0;12;0;0.375
559;0;12;0;0.375
560;2;14;0.0625;0.4375
561;1;15;0.03125;0.46875
562;0;15;0;0.46875
563;2;17;0.0625;0.53125
564;0;17;0;0.53125
565;2;19;0.0625;0.59375
566;0;19;0;0.59375
567;0;19;0;0.59375
568;0;19;0;0.59375
569;0;19;0;0.59375
570;0;19;0;0.59375
571;1;20;0.03125;0.625
572;1;21;0.03125;0.65625
573;0;21;0;0.65625
574;0;21;0;0.65625
575;2;23;0.0625;0.71875
576;1;24;0.03125;0.75
577;1;25;0.03125;0.78125
578;0;25;0;0.78125
579;0;25;0;0.78125
580;3;28;0.09375;0.875
581;0;28;0;0.875
582;0;28;0;0.875
583;0;28;0;0.875
584;0;28;0;0.875
585;0;28;0;0.875
586;0;28;0;0.875
587;0;28;0;0.875
588;1;29;0.03125;0.90625
589;0;29;0;0.90625
590;1;30;0.03125;0.9375
591;0;30;0;0.9375
592;0;30;0;0.9375
593;0;30;0;0.9375
594;0;30;0;0.9375
595;1;31;0.03125;0.96875
596;0;31;0;0.96875
597;1;32;0.03125;1
598;0;32;0;1
599;0;32;0;1
