Nr_Parameter;Bezeichnung_Parameter;Nr_Alternative;Bezeichnung_Alternative;Wert_Parameter
0;Grundnutzen;1;1;0
0;Grundnutzen;2;2;-0.56718357
0;Grundnutzen;3;3;0.2094705092
0;Grundnutzen;4;4;0.6407424681
0;Grundnutzen;5;5;-0.110212544
0;Grundnutzen;6;6;-1.134536655
0;Grundnutzen;7;7;-9.032461599
0;Grundnutzen;8;8;-9.871886597
0;Grundnutzen;9;9;-10.92027049
0;Grundnutzen;10;10;-12.56293853
0;Grundnutzen;11;11;-11.79715147
0;Grundnutzen;12;12;-12.30952878
0;Grundnutzen;13;13;-14.79574836
0;Grundnutzen;14;14;-13.70329539
0;Grundnutzen;15;15;-12.90438885
1;dauer_hauptakt_tag_4bis6std;1;1;0
1;dauer_hauptakt_tag_4bis6std;2;2;0.1687234797
1;dauer_hauptakt_tag_4bis6std;3;3;0.134452668
1;dauer_hauptakt_tag_4bis6std;4;4;0.2311424435
1;dauer_hauptakt_tag_4bis6std;5;5;0.7023574309
1;dauer_hauptakt_tag_4bis6std;6;6;1.7692620948
1;dauer_hauptakt_tag_4bis6std;7;7;9.2974020934
1;dauer_hauptakt_tag_4bis6std;8;8;8.5462087945
1;dauer_hauptakt_tag_4bis6std;9;9;-0.571656399
1;dauer_hauptakt_tag_4bis6std;10;10;-0.163868428
1;dauer_hauptakt_tag_4bis6std;11;11;0.0493423075
1;dauer_hauptakt_tag_4bis6std;12;12;-0.077872072
1;dauer_hauptakt_tag_4bis6std;13;13;0.692423268
1;dauer_hauptakt_tag_4bis6std;14;14;1.3670011983
1;dauer_hauptakt_tag_4bis6std;15;15;2.3993240626
2;dauer_hauptakt_tag_6bis8std;1;1;0
2;dauer_hauptakt_tag_6bis8std;2;2;0.1457820459
2;dauer_hauptakt_tag_6bis8std;3;3;0.0523382494
2;dauer_hauptakt_tag_6bis8std;4;4;0.1809215197
2;dauer_hauptakt_tag_6bis8std;5;5;0.4895973378
2;dauer_hauptakt_tag_6bis8std;6;6;1.1678111259
2;dauer_hauptakt_tag_6bis8std;7;7;8.5564925661
2;dauer_hauptakt_tag_6bis8std;8;8;9.405662885
2;dauer_hauptakt_tag_6bis8std;9;9;9.8408330473
2;dauer_hauptakt_tag_6bis8std;10;10;-0.203577712
2;dauer_hauptakt_tag_6bis8std;11;11;0.0805182477
2;dauer_hauptakt_tag_6bis8std;12;12;0.031440441
2;dauer_hauptakt_tag_6bis8std;13;13;0.7131123494
2;dauer_hauptakt_tag_6bis8std;14;14;1.6039017048
2;dauer_hauptakt_tag_6bis8std;15;15;2.3955238307
3;dauer_hauptakt_tag_8bis10std;1;1;0
3;dauer_hauptakt_tag_8bis10std;2;2;0.0569929078
3;dauer_hauptakt_tag_8bis10std;3;3;-0.046144775
3;dauer_hauptakt_tag_8bis10std;4;4;0.1153785341
3;dauer_hauptakt_tag_8bis10std;5;5;0.1111231122
3;dauer_hauptakt_tag_8bis10std;6;6;0.7454977363
3;dauer_hauptakt_tag_8bis10std;7;7;7.9675802853
3;dauer_hauptakt_tag_8bis10std;8;8;9.0381829123
3;dauer_hauptakt_tag_8bis10std;9;9;10.08356393
3;dauer_hauptakt_tag_8bis10std;10;10;10.117544768
3;dauer_hauptakt_tag_8bis10std;11;11;10.051376228
3;dauer_hauptakt_tag_8bis10std;12;12;0.2220208546
3;dauer_hauptakt_tag_8bis10std;13;13;0.7178012983
3;dauer_hauptakt_tag_8bis10std;14;14;1.8403817825
3;dauer_hauptakt_tag_8bis10std;15;15;2.1920201766
4;dauer_hauptakt_tag_10bis12std;1;1;0
4;dauer_hauptakt_tag_10bis12std;2;2;-0.02237905
4;dauer_hauptakt_tag_10bis12std;3;3;-0.092254133
4;dauer_hauptakt_tag_10bis12std;4;4;-0.155274292
4;dauer_hauptakt_tag_10bis12std;5;5;0.1126465925
4;dauer_hauptakt_tag_10bis12std;6;6;0.9106033763
4;dauer_hauptakt_tag_10bis12std;7;7;8.1739241442
4;dauer_hauptakt_tag_10bis12std;8;8;9.4695142754
4;dauer_hauptakt_tag_10bis12std;9;9;10.663239486
4;dauer_hauptakt_tag_10bis12std;10;10;10.869903501
4;dauer_hauptakt_tag_10bis12std;11;11;11.676858803
4;dauer_hauptakt_tag_10bis12std;12;12;12.789327581
4;dauer_hauptakt_tag_10bis12std;13;13;12.28708237
4;dauer_hauptakt_tag_10bis12std;14;14;1.7879954518
4;dauer_hauptakt_tag_10bis12std;15;15;2.296922455
5;dauer_hauptakt_tag_12bis14std;1;1;0
5;dauer_hauptakt_tag_12bis14std;2;2;0.0926956136
5;dauer_hauptakt_tag_12bis14std;3;3;-0.066510763
5;dauer_hauptakt_tag_12bis14std;4;4;-0.370876544
5;dauer_hauptakt_tag_12bis14std;5;5;-0.145913302
5;dauer_hauptakt_tag_12bis14std;6;6;1.1745683059
5;dauer_hauptakt_tag_12bis14std;7;7;9.1500849705
5;dauer_hauptakt_tag_12bis14std;8;8;9.7860106364
5;dauer_hauptakt_tag_12bis14std;9;9;11.507220966
5;dauer_hauptakt_tag_12bis14std;10;10;11.912356558
5;dauer_hauptakt_tag_12bis14std;11;11;11.867227524
5;dauer_hauptakt_tag_12bis14std;12;12;12.901501959
5;dauer_hauptakt_tag_12bis14std;13;13;14.295848648
5;dauer_hauptakt_tag_12bis14std;14;14;14.623058676
5;dauer_hauptakt_tag_12bis14std;15;15;13.212511563
6;dauer_hauptakt_tag_ueber14std;1;1;0
6;dauer_hauptakt_tag_ueber14std;2;2;0.4372642481
6;dauer_hauptakt_tag_ueber14std;3;3;0.4777308777
6;dauer_hauptakt_tag_ueber14std;4;4;0.7061065405
6;dauer_hauptakt_tag_ueber14std;5;5;1.0749144981
6;dauer_hauptakt_tag_ueber14std;6;6;2.3930571308
6;dauer_hauptakt_tag_ueber14std;7;7;10.007534874
6;dauer_hauptakt_tag_ueber14std;8;8;10.939777804
6;dauer_hauptakt_tag_ueber14std;9;9;12.118546472
6;dauer_hauptakt_tag_ueber14std;10;10;12.765906943
6;dauer_hauptakt_tag_ueber14std;11;11;13.007968136
6;dauer_hauptakt_tag_ueber14std;12;12;13.025970352
6;dauer_hauptakt_tag_ueber14std;13;13;14.726327714
6;dauer_hauptakt_tag_ueber14std;14;14;14.993825212
6;dauer_hauptakt_tag_ueber14std;15;15;16.118787008
7;0;1;1;0
7;0;2;2;0
7;0;3;3;0
7;0;4;4;0
7;0;5;5;0
7;0;6;6;0
7;0;7;7;0
7;0;8;8;0
7;0;9;9;0
7;0;10;10;0
7;0;11;11;0
7;0;12;12;0
7;0;13;13;0
7;0;14;14;0
7;0;15;15;0
8;0;1;1;0
8;0;2;2;0
8;0;3;3;0
8;0;4;4;0
8;0;5;5;0
8;0;6;6;0
8;0;7;7;0
8;0;8;8;0
8;0;9;9;0
8;0;10;10;0
8;0;11;11;0
8;0;12;12;0
8;0;13;13;0
8;0;14;14;0
8;0;15;15;0
9;0;1;1;0
9;0;2;2;0
9;0;3;3;0
9;0;4;4;0
9;0;5;5;0
9;0;6;6;0
9;0;7;7;0
9;0;8;8;0
9;0;9;9;0
9;0;10;10;0
9;0;11;11;0
9;0;12;12;0
9;0;13;13;0
9;0;14;14;0
9;0;15;15;0
10;mittl_zeit_akt_1bis14min;1;1;0
10;mittl_zeit_akt_1bis14min;2;2;-1.251936423
10;mittl_zeit_akt_1bis14min;3;3;-2.80680788
10;mittl_zeit_akt_1bis14min;4;4;-4.711165069
10;mittl_zeit_akt_1bis14min;5;5;-6.884181772
10;mittl_zeit_akt_1bis14min;6;6;-8.004447063
10;mittl_zeit_akt_1bis14min;7;7;-11.12275918
10;mittl_zeit_akt_1bis14min;8;8;-5.482709664
10;mittl_zeit_akt_1bis14min;9;9;-11.34060766
10;mittl_zeit_akt_1bis14min;10;10;-12.04529011
10;mittl_zeit_akt_1bis14min;11;11;-10.85074564
10;mittl_zeit_akt_1bis14min;12;12;-8.697926871
10;mittl_zeit_akt_1bis14min;13;13;-10.66678331
10;mittl_zeit_akt_1bis14min;14;14;-13.25287712
10;mittl_zeit_akt_1bis14min;15;15;-14.98507365
11;mittl_zeit_akt_15bis29min;1;1;0
11;mittl_zeit_akt_15bis29min;2;2;-0.226753554
11;mittl_zeit_akt_15bis29min;3;3;-1.273809355
11;mittl_zeit_akt_15bis29min;4;4;-2.627025398
11;mittl_zeit_akt_15bis29min;5;5;-4.313262529
11;mittl_zeit_akt_15bis29min;6;6;-5.773663742
11;mittl_zeit_akt_15bis29min;7;7;-5.517477327
11;mittl_zeit_akt_15bis29min;8;8;-5.345370117
11;mittl_zeit_akt_15bis29min;9;9;-10.90931866
11;mittl_zeit_akt_15bis29min;10;10;-11.3310355
11;mittl_zeit_akt_15bis29min;11;11;-8.836594998
11;mittl_zeit_akt_15bis29min;12;12;-6.178222088
11;mittl_zeit_akt_15bis29min;13;13;-11.22822339
11;mittl_zeit_akt_15bis29min;14;14;-10.52761069
11;mittl_zeit_akt_15bis29min;15;15;-13.99490068
12;mittl_zeit_akt_30bis59min;1;1;0
12;mittl_zeit_akt_30bis59min;2;2;-0.169966784
12;mittl_zeit_akt_30bis59min;3;3;-0.356016351
12;mittl_zeit_akt_30bis59min;4;4;-1.221669132
12;mittl_zeit_akt_30bis59min;5;5;-2.303178866
12;mittl_zeit_akt_30bis59min;6;6;-3.434128766
12;mittl_zeit_akt_30bis59min;7;7;-3.737524839
12;mittl_zeit_akt_30bis59min;8;8;-3.818714802
12;mittl_zeit_akt_30bis59min;9;9;-2.438336005
12;mittl_zeit_akt_30bis59min;10;10;-11.00045317
12;mittl_zeit_akt_30bis59min;11;11;-1.98475942
12;mittl_zeit_akt_30bis59min;12;12;-10.79704133
12;mittl_zeit_akt_30bis59min;13;13;-2.384394266
12;mittl_zeit_akt_30bis59min;14;14;-2.495759368
12;mittl_zeit_akt_30bis59min;15;15;-13.29616029
13;mittl_zeit_akt_60bis119min;1;1;0
13;mittl_zeit_akt_60bis119min;2;2;-0.001242005
13;mittl_zeit_akt_60bis119min;3;3;-0.054018198
13;mittl_zeit_akt_60bis119min;4;4;-0.295600577
13;mittl_zeit_akt_60bis119min;5;5;-0.968311162
13;mittl_zeit_akt_60bis119min;6;6;-1.662869041
13;mittl_zeit_akt_60bis119min;7;7;-2.041551602
13;mittl_zeit_akt_60bis119min;8;8;-2.028333487
13;mittl_zeit_akt_60bis119min;9;9;-1.508614135
13;mittl_zeit_akt_60bis119min;10;10;-1.979501991
