paramname;in;out;alternative;contextIdentifier
dauer_hauptakt_tag_4bis6std;yes;no;no;day
dauer_hauptakt_tag_6bis8std;yes;no;no;day
dauer_hauptakt_tag_8bis10std;yes;no;no;day
dauer_hauptakt_tag_10bis12std;yes;no;no;day
dauer_hauptakt_tag_12bis14std;yes;no;no;day
dauer_hauptakt_tag_ueber14std;yes;no;no;day
mittl_zeit_akt_1bis14min;yes;no;no;activity
mittl_zeit_akt_15bis29min;yes;no;no;activity
mittl_zeit_akt_30bis59min;yes;no;no;activity
mittl_zeit_akt_60bis119min;yes;no;no;activity
tag_so;yes;no;no;day
aktzweck_work;yes;no;no;activity
aktzweck_education;yes;no;no;activity
aktzweck_shopping;yes;no;no;activity
aktzweck_transport;yes;no;no;activity
taghat2akt;yes;no;no;day
taghat3akt;yes;no;no;day
taghat4akt;yes;no;no;day
taghat5akt;yes;no;no;day
taghat6akt;yes;no;no;day
tourtyp_work;yes;no;no;tour
tourtyp_education;yes;no;no;tour
tourtyp_shopping;yes;no;no;tour
tourtyp_transport;yes;no;no;tour
tourhat2akt;yes;no;no;tour
taghat1tour;yes;no;no;day
taghat2touren;yes;no;no;day
aktliegtvorhauptakt;yes;no;no;activity
tourliegtvorhaupttour;yes;no;no;tour
tourliegtnachhaupttour;yes;no;no;tour
1;no;yes;yes;activity
2;no;yes;yes;activity
3;no;yes;yes;activity
4;no;yes;yes;activity
5;no;yes;yes;activity
6;no;yes;yes;activity
7;no;yes;yes;activity
8;no;yes;yes;activity
9;no;yes;yes;activity
10;no;yes;yes;activity
11;no;yes;yes;activity
12;no;yes;yes;activity
13;no;yes;yes;activity
14;no;yes;yes;activity
15;no;yes;yes;activity
