paramname;in;out;alternative;contextIdentifier
beruf_schueler;yes;no;no;default
haushalthatkinderunter18;yes;no;no;default
alter_10bis17;yes;no;no;default
anztagemit_tourenvorht;yes;no;no;person
anztagemit_tourennachht;yes;no;no;person
1;no;yes;yes;person
2;no;yes;yes;person
3;no;yes;yes;person
4;no;yes;yes;person
5;no;yes;yes;person
6;no;yes;yes;person
7;no;yes;yes;person
8;no;yes;yes;person
9;no;yes;yes;person
10;no;yes;yes;person
11;no;yes;yes;person
12;no;yes;yes;person
13;no;yes;yes;person
14;no;yes;yes;person
15;no;yes;yes;person
16;no;yes;yes;person
